 x                 y                 z               Event            Energy              Time
-2.8847644566e+01  3.9867449529e+02 -7.1609972639e-01 11  1.2512467848e-01  1.2568908572e-15
-2.7174604657e+01  3.9188546842e+02 -1.2183771645e+00 11  1.1193070390e-01  1.6675328372e-15
-3.0475373877e+01  3.9115614720e+02 -2.1218960157e+00  0  8.7600000000e+00  1.7624748735e-15
-3.0303316790e+00  4.6418841347e+02  4.7947095614e-01  1  1.2100000000e+01  7.6125939877e-16
 1.2536902530e+00  4.6185432753e+02  7.7488948597e+00  0  8.7600000000e+00  8.8748222080e-16
-6.1479120942e+00  4.6233933506e+02  9.8535275214e-01  0  8.7600000000e+00  1.1272869820e-15
 9.7332292458e-01  4.6636267291e+02  1.5345529568e+01  0  8.7600000000e+00  3.1074723667e-15
 1.4122579475e+01  4.7327667791e+02  8.6959359842e+00 11  1.9352304127e-01  4.2129492929e-15
 9.9293041340e+00  4.8674933988e+02  7.5848578600e+00 11  8.5396472574e-02  5.2881844869e-15
 1.4032353713e+01  4.7134772179e+02  1.7623864228e+01 11  6.1798556899e-02  7.9189149355e-15
 1.9991872879e+01  4.7795659905e+02  1.3935600742e+01 11  4.0758538029e-02  8.9278546145e-15
 1.9592266548e+01  4.7570644703e+02  1.2290754720e+01 11  1.0518067559e-01  9.3611666222e-15
 2.6537027118e+01  4.7877741976e+02  6.3529865028e+00 11  1.6575244417e-01  1.0387069768e-14
 4.5582755395e+01  4.9685636650e+02  3.4296324081e+01 11  1.6232976885e-01  1.5525203804e-14
 3.1908119598e+00  4.6047734193e+02  5.9133685906e-01 11  1.7445643694e-01  1.2146731596e-15
 1.4030246060e+01  4.5789301410e+02 -2.6958681608e+00 11  7.6701988029e-02  2.0238200356e-15
 1.5242204032e+01  4.5133959758e+02  7.2171703601e+00 11  4.7390762610e-02  2.7077426142e-15
 8.2105508855e+00  4.5530468421e+02  1.1833394807e+01  0  8.7600000000e+00  2.9679176740e-15
 1.2610346894e+01  4.6248679354e+02  1.0756344393e+01 11  1.3347832632e-01  2.4108846922e-15
 1.1695389609e+01  4.6206874472e+02  1.2559422030e+01 11  2.0418862790e-01  2.5308155139e-15
 1.4382089459e+01  4.6818080594e+02  1.1551687883e+01 11  1.0000000000e-02  5.0724707653e-15
 2.5509704708e+00  4.6697015679e+02  1.0743189447e+01 11  7.5766860646e-02  6.9692020260e-15
-5.6022992328e+00  4.6935059920e+02  1.0584894652e+01 11  5.0307082101e-01  7.8321699845e-15
-5.8277755212e+00  4.6927727554e+02  8.4823522381e+00 11  8.4873650580e-02  8.1140881319e-15
-3.6741496875e-01  4.9137105895e+02 -4.2047259614e+00 11  6.8905035522e-02  1.1374600594e-14
 9.5588271583e+00  4.8829843969e+02  3.8492405513e+00 11  1.4674388403e-01  1.2247244559e-14
 2.3773992171e+01  4.9322898275e+02  3.3648856714e+00 11  1.6552983427e-01  1.3736180013e-14
