 x                 y                 z               Event            Energy              Time
 4.4541811009e-03  2.3163852395e+03  1.4217631456e-03  3  3.2200000000e+01  1.2591973761e-15
-7.9206892311e+00  4.0955545927e+03 -4.1872522538e+00  1  1.2100000000e+01  2.2263617937e-15
-4.4268125526e-03  4.5770595999e+03 -1.4385712130e-03  0  8.7600000000e+00  2.4881100691e-15
-9.9441323607e+00  1.3206513687e+04  3.3754196854e+00  2  1.6800000000e+01  7.1791199058e-15
 1.2161511591e+01  1.3327795632e+04  1.2943932087e+00  0  8.7600000000e+00  7.2450493133e-15
 3.8289960306e+00  1.3965305146e+04 -3.7285776532e+00  1  1.2100000000e+01  7.5916023365e-15
 1.1917343571e+00  1.4071950860e+04 -1.1303443917e-01  0  8.7600000000e+00  7.6495754234e-15
 6.9204570169e-01  1.5852194244e+04  1.9679068373e+00  0  8.7600000000e+00  8.6173236890e-15
 1.9978448048e+01  1.5967045987e+04 -7.6799638540e+00  1  1.2100000000e+01  8.6797576103e-15
 9.9130041503e+00  1.8962811515e+04  2.8507769259e+01  3  3.2200000000e+01  1.0308269150e-14
 2.0621149288e+01  1.9005132207e+04 -4.0594975969e+01  0  8.7600000000e+00  1.0331274867e-14
-1.1663229918e+00  2.0669634108e+04  1.4950893996e+00  1  1.2100000000e+01  1.1236105545e-14
-1.8062663714e+02  2.0723802327e+04 -3.9946713215e+01  1  1.2100000000e+01  1.1265551631e-14
 3.5235858555e+00  2.1522090338e+04  1.9404538369e+00  2  1.6800000000e+01  1.1699504564e-14
 1.9336228151e-03  2.1679148491e+04 -1.6013457797e-03  3  3.2200000000e+01  1.1784882078e-14
 7.6620239519e-01  2.4049750637e+04  2.2431145033e-01  0  8.7600000000e+00  1.3073552007e-14
-1.0104828562e+01  2.4708412650e+04 -3.9791746401e+00  0  8.7600000000e+00  1.3431603623e-14
-3.8185186492e-03  2.7791571143e+04  2.1570622815e-03  3  3.2200000000e+01  1.5107622370e-14
 2.3402633782e+02  2.7998506654e+04 -7.7162306985e+02  1  1.2100000000e+01  1.5220113439e-14
-1.8815239510e+00  3.0061432757e+04 -1.2052069818e-01  2  1.6800000000e+01  1.6341529295e-14
-4.7061621878e+00  3.1139615123e+04 -1.8801921310e+01  0  8.7600000000e+00  1.6927634051e-14
 1.5865747305e+01  3.1377139012e+04  4.9866123124e+01  0  8.7600000000e+00  1.7056753099e-14
 8.8891706237e+00  3.3748597184e+04  5.5039655747e+01  1  1.2100000000e+01  1.8345888368e-14
 2.1854675974e-01  3.9647901120e+04 -2.3948130259e+00  2  1.6800000000e+01  2.1552776372e-14
-7.2136316444e-01  4.0445029868e+04 -2.8066951708e+00  1  1.2100000000e+01  2.1986099124e-14
-2.4652372176e+00  4.0491876577e+04  6.8138969550e+00  2  1.6800000000e+01  2.2011565205e-14
-1.9897813733e+00  4.1205643927e+04 -8.2693147245e+00  0  8.7600000000e+00  2.2399572329e-14
-4.0898427049e+00  4.1772824905e+04 -6.8120576852e-01  1  1.2100000000e+01  2.2707894445e-14
-7.9061219466e+01  4.2316163096e+04 -4.7111802448e+01  0  8.7600000000e+00  2.3003255515e-14
-3.9205186882e+01  4.3654087702e+04  3.6636690575e+01  0  8.7600000000e+00  2.3730557315e-14
 2.5095045510e+00  4.4540329662e+04  2.1363482565e+01  2  1.6800000000e+01  2.4212322408e-14
 1.1300532418e+00  4.4791243371e+04 -1.4148026251e+00  0  8.7600000000e+00  2.4348720223e-14
 3.9391318431e+01  4.6448299353e+04  1.3015958919e+00  2  1.6800000000e+01  2.5249503265e-14
 6.9250100076e+00  4.6479520758e+04 -2.2326520779e+00  1  1.2100000000e+01  2.5266475361e-14
 4.8290918462e+01  4.7689956985e+04 -6.1703498104e+01  1  1.2100000000e+01  2.5924473907e-14
 3.0826223422e+01  4.9367536326e+04 -9.8621137371e+00  0  8.7600000000e+00  2.6836413540e-14
 3.7457645306e-03  5.0316897209e+04 -4.9355340190e-03  3  3.2200000000e+01  2.7352490362e-14
-1.5202572181e-03  5.0540949211e+04 -9.6306379696e-04  1  1.2100000000e+01  2.7474286033e-14
 2.6484754033e+00  5.0713826309e+04 -3.3227188552e+00  0  8.7600000000e+00  2.7568262796e-14
 1.0642051221e+01  5.3484302000e+04 -1.1021630706e+00  0  8.7600000000e+00  2.9074305773e-14
-7.6756339236e+01  5.9775973652e+04  1.6582267005e+02  1  1.2100000000e+01  3.2494486622e-14
 2.9209081445e+00  5.9855309138e+04  4.9758863998e+01  0  8.7600000000e+00  3.2537613747e-14
 1.5298876444e+00  6.1316335071e+04 -9.6329213953e-01  1  1.2100000000e+01  3.3331833978e-14
 3.7867644098e-03  6.5844550205e+04  4.1494348269e-03  2  1.6800000000e+01  3.5793391977e-14
