 x                 y                 z               Event            Energy              Time
 3.5201559571e+00  8.5695705353e+02  8.2050208613e+00 11  1.1308315426e-01  2.1462213274e-15
 5.7023557878e-01  8.5529532476e+02  1.7354483715e+01 11  6.5171527754e-02  2.8543150005e-15
-2.0412316492e+01  8.2683978132e+02  1.3086776036e+01 11  8.8905427514e-02  6.5278923229e-15
-2.7837135088e+01  8.4553234114e+02 -5.2074836978e+00 11  1.1739286797e-01  8.2894230886e-15
-2.9771155033e+01  8.4726373577e+02 -6.5866600280e+00 11  1.9535267620e-01  8.4763842596e-15
-3.7817251848e+01  8.5348137658e+02 -6.4355591938e+00 11  8.5459031724e-02  9.4076138059e-15
 7.9178880997e+00  9.4262627305e+02  4.8208032490e-01  0  8.7600000000e+00  5.0822083125e-16
-8.2193576119e+00  9.7225223185e+02  8.7898736537e+00  0  8.7600000000e+00  5.3023352978e-15
 1.0466752696e+01  9.1904620636e+02 -1.6965705983e+01 11  1.5602109179e-01  1.3193127866e-15
 1.1868732313e+01  9.2065392082e+02 -1.8542343083e+01 11  1.0000000000e-02  1.4886037787e-15
 2.1985288752e+01  9.0776612850e+02  2.2915737509e-01 11  1.3543804275e-01  4.9743996272e-15
 3.7178534133e+01  9.2179165696e+02 -1.1759618487e+01  0  8.7600000000e+00  6.1920263513e-15
-5.2777157759e+00  4.3958352345e+03 -1.7617278321e+01 11  8.9081701101e-02  3.4984119473e-15
-7.5776702138e+00  4.4057298165e+03 -1.2855729023e+01 11  6.1781196127e-02  6.1042683164e-15
-7.7576503130e+00  4.4014260290e+03 -1.2848155376e+01 11  1.7141781607e-01  6.3707822985e-15
-1.8417110375e+01  4.3999476234e+03 -8.0392868807e+00 11  1.5374052834e-01  8.1353273837e-15
-1.6679138612e+01  4.3997423511e+03  1.9448048804e+00 11  1.3416200528e-01  8.8725434980e-15
-1.8471804316e+01  4.3960012655e+03 -1.4841513375e+00 11  9.5389172816e-02  9.3247026927e-15
-1.4078094291e+01  4.3960558990e+03  5.1698335363e-01 11  7.1040926719e-02  9.6808535929e-15
-4.4721633428e+00  4.4000022393e+03  1.2721385583e+01 11  9.3620071894e-01  1.1644618408e-14
-4.4455594075e+00  4.3999242573e+03  1.2651115285e+01 11  1.1972332610e-01  1.1651121825e-14
-4.7252892680e+00  4.3963714352e+03  1.5097378535e+01 11  1.3972991217e-01  1.2354858055e-14
-8.6822975188e+00  4.4145285930e+03  3.3938177035e+01 11  6.6833567934e-02  1.4982047572e-14
-3.9104517451e+00  4.4148021467e+03  3.0082509811e+01 11  2.3253374843e-01  1.5381723092e-14
 7.0356377496e-01  4.4119928459e+03  2.3785725808e+01 11  1.2364306924e-01  1.6059818909e-14
-1.2378697377e+01  4.4221417773e+03  2.6768333595e+01 11  2.2580795820e-01  2.1330015527e-14
