 x                 y                 z               Event            Energy              Time
 2.0810560974e+01  1.0762985287e+03 -9.5594108242e+00  7  1.6800000000e+01  1.2262006667e-15
 4.7898537269e+01  1.9460670728e+03 -3.5363806897e+00  7  1.2100000000e+01  2.2171067584e-15
-1.4341748811e+00  2.5276004355e+03  1.6210495636e+01 12  9.9998372079e-01  2.8796335369e-15
 2.2418436457e+00  3.0972731038e+03 -1.0437834803e+00 12  9.4995347821e-01  3.5286477156e-15
-6.8661521307e+00  3.6220815074e+03  2.7399380254e+01 12  6.2893270992e-01  4.1265491316e-15
 7.8456214172e+00  3.9675279420e+03 -8.4010106597e+00  7  1.6800000000e+01  4.5201078304e-15
-2.7585171514e+02  5.0582292426e+03 -3.1464114372e+02 12  4.6759348156e-01  5.7627172238e-15
 6.2566259418e+00  6.8560175774e+03  3.1555170422e+00 12  6.0203104862e-01  7.8108936320e-15
 6.9899049831e+00  6.9306361679e+03  2.0101534851e+01  7  1.2100000000e+01  7.8959047724e-15
 2.1583706576e+00  1.1560769562e+04  1.0859452055e+01 12  1.2147453016e+00  1.3170902836e-14
-2.2623024710e+00  1.2330690548e+04  2.3989414044e+00 12  2.0602723112e+00  1.4048055039e-14
-7.1587257411e+00  1.3713841372e+04  5.5076654248e+01 12  1.9830665437e-02  1.5623845043e-14
 2.8243347246e-01  1.4716468464e+04 -3.0948770854e+00 12  5.6750158318e-01  1.6766113639e-14
 3.6540171567e+01  1.6616505522e+04  1.0172070423e+01  7  8.7600000000e+00  1.8930779524e-14
 1.2951843924e+01  1.8326252970e+04 -1.8228026106e+01 12  1.7668044892e-01  2.0878653096e-14
 2.8777533388e+00  1.8550452696e+04  2.4498394815e+01 12  6.8966585324e-01  2.1134078376e-14
 1.0140554857e+01  2.0679486462e+04 -7.0772087788e-01 12  5.6574545858e-01  2.3559634627e-14
-1.5093453629e+01  2.2387199763e+04 -1.3098553846e+01  7  1.6800000000e+01  2.5505190746e-14
-3.2418173958e+01  2.2502611855e+04 -1.3212334353e+01 12  1.7809931391e+00  2.5636676928e-14
-4.0147741313e+02  2.6194936221e+04  4.0267764271e+02 12  1.2652707051e+00  2.9843252035e-14
-3.4228226046e+01  2.6410770685e+04  5.1911862791e+01 12  8.6005618090e-01  3.0089146976e-14
 4.3217800240e+01  2.6531388603e+04  1.7116975742e+01  7  1.2100000000e+01  3.0226564029e-14
 3.5277006843e+00  2.7931726600e+04  5.4015304001e+00  2  1.0811997511e+01  3.1821934960e-14
-6.0055436356e+01  2.8578976458e+04 -3.6055731588e+01 12  1.9981955115e-01  3.2559330939e-14
-3.8755812279e+00  2.9371358947e+04  3.2054793835e+00 12  1.7245158930e+00  3.3462072985e-14
 2.1094067872e+01  2.9554604533e+04 -5.8043162133e+00  7  1.2100000000e+01  3.3670840213e-14
-2.8827776433e+00  3.0288986780e+04 -2.8527042512e-01 12  1.6014118081e+00  3.4507503997e-14
 8.6143451712e-01  3.3128630742e+04 -1.2954309804e+01  7  8.7600000000e+00  3.7742641114e-14
 2.0191731726e+01  3.4915645535e+04  1.2281798026e+01 12  1.8939378279e+00  3.9778543489e-14
 1.7478389629e+02  3.5114339618e+04  2.5757280776e+02 12  1.8170972483e+00  4.0004910813e-14
-5.7377450873e+00  3.5417560535e+04 -2.5365619522e+01 12  2.6384273333e+00  4.0350363009e-14
-1.3887600758e+01  3.5652210960e+04  4.4237591826e+01 12  8.7242918611e-01  4.0617694515e-14
 1.5837951792e+00  3.6870373189e+04 -3.0710977092e-01  7  8.7600000000e+00  4.2005517036e-14
-6.3998950773e+01  3.7885968015e+04  2.6856902120e+02  7  1.6800000000e+01  4.3162559455e-14
 2.4066480948e+01  3.8641720871e+04 -8.3645121670e+01 12  2.6792965366e-01  4.4023570254e-14
-1.0113705413e+01  3.8667017944e+04  4.4743441780e+00  7  8.7600000000e+00  4.4052390592e-14
 5.8889091598e-01  3.8976912606e+04 -4.4599901949e-01 12  1.2594322581e+00  4.4405446023e-14
-5.1528686751e+00  4.1362974098e+04 -5.1911830593e+00 12  1.5980280993e+00  4.7123827693e-14
 7.9197254742e+01  4.2092050646e+04 -3.1919484829e+00 12  9.5126233563e-01  4.7954446825e-14
-1.2928790718e+01  4.3219204864e+04  1.9826672855e+01 12  1.6693568933e+00  4.9238586138e-14
-8.1872286189e+00  4.3686916496e+04  9.1259018993e+00 12  2.7903555124e-01  4.9771438595e-14
 9.6375004058e+00  4.5450863141e+04  3.4791211922e+00  7  1.2100000000e+01  5.1781059991e-14
-5.1033352371e+00  4.6158057196e+04  2.1657823752e+00 12  2.4206812208e+00  5.2586748932e-14
 3.3340507619e+01  4.6425173420e+04 -1.6409478584e+01  7  1.6800000000e+01  5.2891067931e-14
