 x                 y                 z               Event            Energy              Time
 1.1858406541e+00  1.0393885368e+03 -3.7710660661e+00  0  8.7600000000e+00  9.6227820337e-16
 7.0317510315e-04  1.2782447884e+03 -1.7360412966e-03  1  1.2100000000e+01  1.1834141469e-15
 1.2737199626e+00  1.6374442237e+03 -3.2625956802e+01  0  8.7600000000e+00  1.5159652334e-15
-3.1643501040e+02  1.8838068840e+03  3.4896471689e+00  2  1.6800000000e+01  1.7440506987e-15
 2.1604590200e+01  1.8893887798e+03  1.2861896923e+01  3  3.2200000000e+01  1.7492184839e-15
 2.3539277713e-03  1.8896078920e+03  2.4640515668e-03  3  3.2200000000e+01  1.7494213406e-15
 7.6995596690e+00  3.4630254321e+03  9.7396436421e+00  3  3.2200000000e+01  3.2061099129e-15
 3.3146826775e-03  3.4930643685e+03 -1.2823867385e-04  4  4.0000000000e+01  3.2339203156e-15
 5.1755939098e+00  3.7163214950e+03 -1.9650036083e+01  0  8.7600000000e+00  3.4406144045e-15
 1.5570350407e-01  3.8117626252e+03  6.0410238048e+00  0  8.7600000000e+00  3.5289749318e-15
 9.3045766277e+01  4.4267984789e+03  6.8840057665e+01  1  1.2100000000e+01  4.0983824011e-15
 2.6673356219e+00  5.4653057041e+03  3.7004617753e+00  0  8.7600000000e+00  5.0598446758e-15
-1.8965264316e+00  5.8848038235e+03  8.4410266740e+00  2  1.6800000000e+01  5.4482209975e-15
-2.9255563805e+00  6.0088993880e+03 -3.3631400004e+00  2  1.6800000000e+01  5.5631101391e-15
-5.0407394326e+00  6.1942274528e+03 -2.5144585634e+00  0  8.7600000000e+00  5.7346890540e-15
-8.6915769900e+00  6.3516754242e+03 -9.6618546160e+00  1  1.2100000000e+01  5.8804562485e-15
 4.1598299711e+01  6.7407786176e+03  2.4697699052e+01  0  8.7600000000e+00  6.2406925880e-15
 4.6926086488e-03  7.7931075634e+03 -1.3264401566e-03  3  3.2200000000e+01  7.2149511752e-15
-3.4797117992e-03  7.8875832588e+03 -3.5162087244e-03  1  1.2100000000e+01  7.3024178917e-15
 2.1659212947e+00  8.3524345127e+03 -1.5649021394e+00  0  8.7600000000e+00  7.7327826818e-15
-4.4802372251e+00  9.3222626774e+03 -4.0364032627e+00  0  8.7600000000e+00  8.6306610697e-15
-1.4091579123e+01  9.8425180228e+03  6.5033878923e-01  0  8.7600000000e+00  9.1123196232e-15
-7.4724823727e+00  9.8577770862e+03  2.0173106578e+02  1  1.2100000000e+01  9.1264466446e-15
 4.4618343926e+00  1.0014134893e+04 -5.1566408282e+00  2  1.6800000000e+01  9.2712045518e-15
-3.3631982537e+01  1.0207015208e+04  8.1221600512e+00  1  1.2100000000e+01  9.4497754294e-15
 3.4223739288e-01  1.0308446414e+04  3.4343185507e-01  3  3.2200000000e+01  9.5436816395e-15
-2.2545325224e+01  1.0800601212e+04  4.3643957688e+00  1  1.2100000000e+01  9.9993243739e-15
-1.2505896283e+00  1.1790789252e+04  1.6315602927e+00  0  8.7600000000e+00  1.0916052176e-14
-2.1326581344e+01  1.2176002911e+04 -1.4449773485e+01  0  8.7600000000e+00  1.1272687538e-14
 8.0484218748e+01  1.2487860017e+04 -1.0663432060e+00  2  1.6800000000e+01  1.1561408536e-14
 1.1990652310e+00  1.2552612699e+04 -4.3579448233e-02  1  1.2100000000e+01  1.1621357335e-14
 3.9587247437e+01  1.3092636594e+04  1.5047831144e+02  2  1.6800000000e+01  1.2121317846e-14
-1.0080477188e+01  1.3544037340e+04  4.6051716470e+00  2  1.6800000000e+01  1.2539229996e-14
 9.3057423537e-01  1.3585709381e+04 -1.2099570104e+00  3  3.2200000000e+01  1.2577810465e-14
 3.0799696958e-03  1.5797336437e+04 -4.9493225803e-03  1  1.2100000000e+01  1.4625360957e-14
 4.1493906301e+00  1.6044401781e+04 -9.0272365061e+00  1  1.2100000000e+01  1.4854096975e-14
 7.7666609289e+00  1.6439377831e+04 -3.6820515249e+01  2  1.6800000000e+01  1.5219770475e-14
-4.8065143052e+00  1.6902259321e+04 -3.5067446481e+00  1  1.2100000000e+01  1.5648311634e-14
-3.2646077118e-03  1.7721968504e+04  1.7381874690e-03  1  1.2100000000e+01  1.6407208093e-14
-3.7828258727e+01  1.8063687896e+04 -3.3740944811e+01  0  8.7600000000e+00  1.6723575949e-14
 3.7167907174e-03  1.8327597793e+04 -1.8984121722e-03  2  1.6800000000e+01  1.6967906853e-14
 1.5117233157e+00  1.9677791852e+04  1.3897355037e+00  0  8.7600000000e+00  1.8217932487e-14
 2.0809843671e+02  2.0040601545e+04 -9.5386668447e+01  2  1.6800000000e+01  1.8553825992e-14
 1.7866351786e+00  2.0245230035e+04  5.4619025710e-01  3  3.2200000000e+01  1.8743273469e-14
-8.3250535826e+00  2.0330356691e+04  3.9426770387e+01  2  1.6800000000e+01  1.8822084734e-14
-2.7848765400e-01  2.0764231413e+04 -5.2241556008e+00  3  3.2200000000e+01  1.9223771085e-14
