 x                 y                 z               Event            Energy              Time
 1.3492639698e+00  1.7771399681e+03 -3.4560994006e+01 12  1.2163715632e+00  1.5628852055e-15
 5.1688239024e-01  2.9692228058e+03  3.1395553849e-01  7  1.6800000000e+01  2.6112486794e-15
 6.9348070650e+00  3.9947507169e+03  5.3563572910e+00  7  8.7600000000e+00  3.5131373482e-15
 1.6492138909e-01  4.1369566132e+03  6.3986616320e+00 12  5.9059161359e-01  3.6381986802e-15
-2.3684056931e+00  6.4528387213e+03 -1.1814254747e+00 12  3.8718232353e-01  5.6748744341e-15
-4.7464191857e+00  8.6573714090e+03 -4.2762159512e+00 12  1.8210655206e+00  7.6136252272e-15
 1.2007791628e+01  9.0489053384e+03  1.0726889165e+02  7  8.7600000000e+00  7.9579552162e-15
-2.5368171751e+01  9.4372021763e+03  1.1707634721e+00 12  1.7174968803e-01  8.2994383825e-15
 1.3060813338e+02  1.1662702050e+04 -1.2675631503e+01  7  8.7600000000e+00  1.0256628525e-14
-9.4618724503e+00  1.4587799796e+04  4.3225678629e+00  7  1.2100000000e+01  1.2829071931e-14
 8.6601448073e+00  1.5375831441e+04 -1.8840640066e+01  4  9.2945245307e+00  1.3522097253e-14
-2.3472097112e-01  1.5551597672e+04  1.6819383090e+01 12  4.4959065669e+00  1.3676672833e-14
-6.1057918159e+00  1.5899653024e+04 -8.1794089863e+00  7  8.7600000000e+00  1.3982766090e-14
-9.0126927859e+00  1.6558494074e+04 -4.8520062300e+00  7  8.7600000000e+00  1.4562176237e-14
-9.0126927859e+00  1.6558494074e+04 -4.8520062300e+00 12  1.6779350660e-01  1.4562176237e-14
 1.3307069191e+00  1.6727008145e+04  5.1122631208e-01  7  1.2100000000e+01  1.4710373989e-14
-3.6836208932e+00  1.6909088804e+04 -2.4368964504e+01  7  8.7600000000e+00  1.4870502720e-14
 3.5741594541e+01  2.1080981177e+04  2.2085962744e+01  7  8.7600000000e+00  1.8539425251e-14
 1.5494512270e+01  2.2912617304e+04 -2.4118578432e+01 12  9.1646339935e-01  2.0150236473e-14
-9.3805856875e+01  2.5447459460e+04 -2.1495851331e+01  7  1.2100000000e+01  2.2379474110e-14
 1.4675304757e+01  2.9248890807e+04  4.8510623658e+00 12  1.4305724698e+00  2.5722598973e-14
 2.8700466332e+02  3.1891082530e+04 -2.1184531906e+02 12  3.3630866591e+00  2.8046243946e-14
-2.4097831203e+01  3.7001683255e+04  8.3145237233e+01 12  1.3162320156e+00  3.2540702688e-14
-1.3058664640e+02  3.8829981306e+04  4.4711236021e+00 12  2.9660509197e+00  3.4148578278e-14
 4.4302869299e+01  4.3311636208e+04 -1.9965589100e+01 12  1.3585165596e+00  3.8089917885e-14
-2.4048438354e+00  4.4057639154e+04 -1.8806496973e+01 12  6.6051121490e-01  3.8745981553e-14
-8.0396781164e+01  4.4920245930e+04  3.2171292198e+02 12  1.2999915020e+00  3.9504591112e-14
 1.2834680026e+01  4.5443423800e+04  3.1922954622e+01 12  2.5560741259e+00  3.9964693844e-14
 7.8883552722e+00  4.6389525652e+04  2.3085504572e+00 12  1.8921256097e-01  4.0796732183e-14
 8.7834989093e-04  4.7332735694e+04 -1.6170316278e+00 12  1.1190749229e+00  4.1626227353e-14
 5.5097217024e+00  4.9922335008e+04  2.3371883820e+00 12  2.7690102380e+00  4.3903620540e-14
 4.4568457713e+01  5.1377612683e+04 -9.7606167299e+00 12  5.7742168167e-01  4.5183447672e-14
-1.0362337864e+02  5.1424570851e+04  1.2108179972e+02  0  7.8534586800e+00  4.5224744490e-14
-6.3263922377e+01  5.2257844280e+04  2.7820344497e+00 12  9.7265170949e-01  4.5957557176e-14
 1.8832193624e+00  5.5558191530e+04  1.0145553497e+00 12  2.1056970879e-01  4.8860009421e-14
 1.4808866721e+00  5.6338897368e+04  1.2944168128e+00  7  8.7600000000e+00  4.9546592147e-14
-2.3826587770e+00  6.0761722614e+04 -1.7689632488e+00  7  1.2100000000e+01  5.3436194693e-14
