WT 0 Gy,WT 2.5 Gy,WT 5 Gy,WT 10 Gy,WT 20 Gy,WT 30 Gy
0.080066667,0.080833333,0.081633333,0.0811,0.080866667,0.082166667
0.0815,0.082266667,0.082666667,0.081233333,0.083033333,0.083533333
0.082366667,0.083033333,0.0835,0.082066667,0.0848,0.084933333
0.084033333,0.085333333,0.085366667,0.084166667,0.087733333,0.087466667
0.087666667,0.089766667,0.089066667,0.087466667,0.0915,0.091033333
0.0956,0.099866667,0.0963,0.0941,0.096966667,0.0957
0.109833333,0.112466667,0.106433333,0.103733333,0.106833333,0.103166667
0.136933333,0.135133333,0.125166667,0.119566667,0.122466667,0.1144
0.1687,0.176533333,0.155166667,0.1562,0.1521,0.143366667
0.228366667,0.2334,0.209333333,0.1982,0.2214,0.1933
0.293533333,0.286166667,0.276566667,0.2609,0.2831,0.2609
0.3675,0.344833333,0.349366667,0.3104,0.341,0.346733333
0.4234,0.401866667,0.414866667,0.352166667,0.3876,0.4105
0.490033333,0.453733333,0.478033333,0.414066667,0.455133333,0.4971
0.538366667,0.503966667,0.533833333,0.468233333,0.510533333,0.561133333
0.583466667,0.549466667,0.5847,0.516366667,0.559933333,0.617433333
0.625033333,0.590833333,0.628766667,0.558366667,0.601866667,0.666233333
0.665633333,0.6305,0.666633333,0.5978,0.637366667,0.711633333
0.709466667,0.671466667,0.703466667,0.634666667,0.6714,0.753333333
0.753333333,0.713866667,0.7362,0.6689,0.706566667,0.791733333
0.7705,0.750266667,0.771466667,0.703466667,0.739866667,0.824833333
0.767266667,0.7598,0.8066,0.737733333,0.771533333,0.860233333
0.7613,0.755866667,0.826233333,0.772,0.805666667,0.896033333
0.759233333,0.751633333,0.8249,0.795166667,0.834633333,0.913933333
0.759466667,0.749166667,0.8188,0.794633333,0.843433333,0.908133333
0.761166667,0.748466667,0.814266667,0.7906,0.835666667,0.899033333
0.769466667,0.7522,0.8133,0.790233333,0.8314,0.895733333
0.7771,0.754333333,0.8117,0.787466667,0.825866667,0.891033333
0.7873,0.7569,0.809833333,0.7868,0.822533333,0.887433333
0.795766667,0.759133333,0.810066667,0.784166667,0.819966667,0.883033333
0.805433333,0.7668,0.812433333,0.7875,0.819733333,0.883866667
0.8153,0.772,0.8139,0.786533333,0.821966667,0.882933333
0.8249,0.7758,0.812633333,0.786966667,0.820133333,0.881133333
0.840866667,0.781533333,0.813833333,0.789533333,0.819266667,0.8817
0.845366667,0.785066667,0.814966667,0.790233333,0.8214,0.879533333
0.8491,0.787866667,0.8145,0.792433333,0.8219,0.878333333
0.850466667,0.793533333,0.817166667,0.7951,0.822966667,0.878533333
0.8572,0.7955,0.818866667,0.7941,0.821966667,0.8781
0.860433333,0.801633333,0.823133333,0.798033333,0.823533333,0.8801
0.870466667,0.806166667,0.8238,0.801066667,0.823066667,0.8821
0.878166667,0.8111,0.827766667,0.804966667,0.825033333,0.882433333
0.8798,0.816233333,0.831366667,0.809666667,0.826166667,0.8841
0.8912,0.824466667,0.835966667,0.814666667,0.828,0.888
0.9022,0.8282,0.8414,0.820033333,0.832933333,0.893166667
0.909933333,0.835233333,0.842933333,0.8281,0.8366,0.8965
0.9243,0.838633333,0.849666667,0.834833333,0.840433333,0.901433333
0.930433333,0.846633333,0.8579,0.839566667,0.846033333,0.905833333
0.938666667,0.847033333,0.8612,0.845666667,0.846266667,0.912766667
0.952266667,0.853166667,0.8665,0.849,0.852466667,0.915
0.956,0.854733333,0.869233333,0.8557,0.8569,0.9194
0.949,0.848933333,0.8714,0.856466667,0.860333333,0.922133333
0.963,0.860066667,0.876933333,0.8633,0.867866667,0.927266667
0.985833333,0.8656,0.8784,0.865666667,0.874066667,0.9297
0.980566667,0.8651,0.8879,0.872466667,0.8776,0.934033333
0.9987,0.866966667,0.897133333,0.8772,0.880633333,0.939466667
0.9866,0.866133333,0.8913,0.878133333,0.8802,0.9419
0.9702,0.8682,0.8891,0.876866667,0.8852,0.935866667
1.0043,0.876833333,0.900733333,0.888933333,0.889433333,0.9513
0.994566667,0.880633333,0.899733333,0.8935,0.892433333,0.953
0.9651,0.876233333,0.8983,0.882533333,0.887566667,0.946866667
0.987233333,0.8793,0.897833333,0.887866667,0.8961,0.9544
0.982933333,0.8785,0.894566667,0.890233333,0.901466667,0.9604
0.979533333,0.872666667,0.897133333,0.8885,0.9055,0.958366667
0.9749,0.8785,0.902433333,0.895933333,0.907533333,0.961766667
0.976366667,0.872266667,0.9002,0.895433333,0.908733333,0.962533333
0.954533333,0.8776,0.896333333,0.895033333,0.9082,0.964733333
0.9445,0.879033333,0.910833333,0.897033333,0.913166667,0.9649
0.934033333,0.879566667,0.899433333,0.895366667,0.913766667,0.9717
0.927633333,0.883366667,0.903166667,0.9049,0.9156,0.971366667
0.916666667,0.882066667,0.904133333,0.903466667,0.914266667,0.971466667
0.902566667,0.882633333,0.914133333,0.907566667,0.918866667,0.9776
0.889633333,0.8834,0.910833333,0.913533333,0.920833333,0.978566667
0.875166667,0.883433333,0.9192,0.9136,0.922166667,0.979466667
0.842666667,0.882333333,0.921,0.907766667,0.9277,0.9834
0.823166667,0.882833333,0.922633333,0.9178,0.930066667,0.983166667
0.817266667,0.8726,0.918833333,0.914366667,0.9249,0.9841
0.781433333,0.883033333,0.9202,0.917766667,0.929533333,0.9923
0.764,0.8719,0.915666667,0.9066,0.927533333,0.983566667
0.771033333,0.869966667,0.9132,0.916,0.926233333,0.977833333
0.758666667,0.878,0.9175,0.9171,0.924433333,0.984466667
0.7573,0.877633333,0.921766667,0.915933333,0.9282,0.9854
0.758933333,0.8718,0.9172,0.917166667,0.925966667,0.9887
0.747566667,0.872566667,0.918933333,0.915266667,0.932433333,0.981133333
0.7318,0.8544,0.912,0.911466667,0.919066667,0.977833333
