 x                 y                 z               Event            Energy              Time
-4.0561870542e+00  2.4265131284e+02  4.7267187754e+00  0  8.7600000000e+00  5.3730964658e-16
-3.3390934292e-03  2.7791913380e+02 -1.4326446929e-04  2  1.6800000000e+01  6.1540417735e-16
-2.9404829771e+00  5.6420177464e+02 -1.8437364743e+00  0  8.7600000000e+00  1.2493279042e-15
 3.4825991696e-01  7.5504616681e+02 -8.9205738625e+00  1  1.2100000000e+01  1.6719200251e-15
 2.1540646149e-03  8.3929704789e+02  3.3639820052e-03  3  3.2200000000e+01  1.8584791275e-15
 7.6633441496e+01  9.7376764170e+02  2.2746005996e+01  0  8.7600000000e+00  2.1562411565e-15
 8.4270491214e+00  1.0615097752e+03  4.1259781052e+00  0  8.7600000000e+00  2.3505310376e-15
-3.2591074875e-01  1.2608770411e+03  6.0585206565e-01  0  8.7600000000e+00  2.7919955983e-15
-2.0688191449e+00  1.2806798958e+03 -3.2429482138e+00  0  8.7600000000e+00  2.8358456179e-15
 5.3900233433e+00  1.4434965820e+03  4.3186871225e-03  2  1.6800000000e+01  3.1963751989e-15
-2.8954102053e+01  1.4565172426e+03  1.0153325625e+02  0  8.7600000000e+00  3.2252072149e-15
 1.6481801517e+01  1.7180209905e+03 -1.0217310634e+01  0  8.7600000000e+00  3.8042623401e-15
 5.5180536276e-01  1.9298395137e+03 -1.5142376717e+00  0  8.7600000000e+00  4.2732980709e-15
-7.4565452454e-01  2.0277737951e+03  3.3187461173e+00  2  1.6800000000e+01  4.4901567126e-15
-1.1609299112e+00  2.0567446280e+03 -1.3345734329e+00  2  1.6800000000e+01  4.5543076451e-15
-1.9782465597e+00  2.1000105450e+03 -9.8680343808e-01  0  8.7600000000e+00  4.6501125857e-15
 2.6611141045e+00  2.1367676918e+03  4.6842235697e+00  1  1.2100000000e+01  4.7315049725e-15
-8.7023387095e-01  2.5441918205e+03 -2.9907987618e+00  1  1.2100000000e+01  5.6336757130e-15
-4.1566165613e+00  2.6576146189e+03  1.9800891179e+00  0  8.7600000000e+00  5.8848310150e-15
 1.1844718634e+01  2.8000306883e+03 -2.3928136920e+00  0  8.7600000000e+00  6.2001869347e-15
-1.5544383631e-03  2.8156412612e+03  4.5544315873e-03  3  3.2200000000e+01  6.2347538665e-15
-2.2084077819e+01  2.8400343410e+03  1.6678617283e+01  0  8.7600000000e+00  6.2887681513e-15
 3.7271351463e+01  2.9540896974e+03 -2.5421062640e+01  2  1.6800000000e+01  6.5413241440e-15
 3.7092117585e+00  3.1132550682e+03 -8.5185338498e-01  1  1.2100000000e+01  6.8937685144e-15
-2.1339337898e+00  3.4404379292e+03  7.6918681017e+00  0  8.7600000000e+00  7.6182587523e-15
 9.5703846489e+00  3.9332414650e+03  4.9641823403e+00  0  8.7600000000e+00  8.7094875224e-15
-1.4058342707e+00  3.9513935641e+03 -4.4247357807e+00  0  8.7600000000e+00  8.7496822274e-15
-2.2910400467e-01  4.1521871474e+03  5.8775839838e+00  1  1.2100000000e+01  9.1943051227e-15
-1.3024642493e+01  4.2051333259e+03 -1.4344840144e+01  0  8.7600000000e+00  9.3115453394e-15
 5.4331596614e+00  4.2076637751e+03  6.2399014417e+00  0  8.7600000000e+00  9.3171485843e-15
-1.3316918794e+00  4.2455952971e+03 -4.6570092155e+00  0  8.7600000000e+00  9.4011414235e-15
-3.6683130863e-03  4.3226136758e+03 -3.3380421849e-03  3  3.2200000000e+01  9.5716853920e-15
 2.3698967718e+00  4.3993262457e+03 -2.7389421877e+00  1  1.2100000000e+01  9.7415521994e-15
-1.2808821672e+01  4.4443552797e+03  3.0933442466e+00  1  1.2100000000e+01  9.8412612594e-15
 1.3680598325e-01  4.4680349859e+03  1.3728345760e-01  3  3.2200000000e+01  9.8936959009e-15
-1.7058864113e+01  4.5829313925e+03  3.6496025758e+01  1  1.2100000000e+01  1.0148114255e-14
 8.6634060521e+00  4.7242952254e+03 -3.7620217312e+00  0  8.7600000000e+00  1.0461140178e-14
-5.3090715811e+00  4.7533445139e+03  2.4552561000e+01  0  8.7600000000e+00  1.0525464837e-14
-1.0373334180e+01  4.8999824408e+03  3.5741921310e+00  2  1.6800000000e+01  1.0850169334e-14
-1.5802900109e+01  5.2262837906e+03  7.5103501358e+00  0  8.7600000000e+00  1.1572707617e-14
 3.9667090407e-01  5.2491510849e+03 -7.9496140514e+00  1  1.2100000000e+01  1.1623343312e-14
 1.6300810619e+00  5.3804072004e+03  2.6784365496e+01  0  8.7600000000e+00  1.1913987431e-14
-3.3655646230e+00  5.4403818164e+03 -1.4385856678e+00  2  1.6800000000e+01  1.2046790915e-14
-4.8758417506e-01  5.5864473202e+03  3.4037462186e-01  0  8.7600000000e+00  1.2370227880e-14
 3.2595993707e+00  5.6867420645e+03  1.9728855422e+00  0  8.7600000000e+00  1.2592313362e-14
 3.7669885149e+00  6.3064631551e+03 -8.5696101380e+00  0  8.7600000000e+00  1.3964579253e-14
-1.4374933979e+01  6.3591072459e+03 -5.5998014283e+01  0  8.7600000000e+00  1.4081150548e-14
-9.9843270525e-01  6.4374284660e+03  4.5050689236e-01  1  1.2100000000e+01  1.4254579435e-14
-2.4750010751e-03  6.9537456945e+03  2.6569314569e-03  1  1.2100000000e+01  1.5397875238e-14
 1.6317997997e+00  7.0114245392e+03 -3.5500737424e+00  1  1.2100000000e+01  1.5525595131e-14
-2.7572037654e+01  7.1036340006e+03  6.6865413740e+01  2  1.6800000000e+01  1.5729777143e-14
 3.2758016304e+01  7.1433151249e+03 -1.7635434934e+00  0  8.7600000000e+00  1.5817644175e-14
 6.1931427333e+01  7.2590258233e+03 -2.0605720367e+01  1  1.2100000000e+01  1.6073865639e-14
-2.6464316104e+01  7.5442450773e+03 -2.3604867345e+01  0  8.7600000000e+00  1.6705434678e-14
 4.6281234261e+00  7.6145458721e+03 -4.9298984359e+00  2  1.6800000000e+01  1.6861103711e-14
-4.9530030414e-03  8.0857086460e+03  4.8778827814e-03  2  1.6800000000e+01  1.7904412732e-14
-1.4559565451e+01  8.1527066473e+03  4.7487548962e+00  2  1.6800000000e+01  1.8052768296e-14
-1.9448794153e+01  8.2610613356e+03  1.2833012098e+01  3  3.2200000000e+01  1.8292701138e-14
 7.0924437068e-01  8.3088330495e+03  2.1682230922e-01  3  3.2200000000e+01  1.8398483392e-14
 8.4063484847e-01  8.3287063637e+03  2.5990477747e+00  2  1.6800000000e+01  1.8442489432e-14
 7.0861689122e-01  8.3322778268e+03 -2.8669769624e+00  0  8.7600000000e+00  1.8450397824e-14
 1.8663788163e+01  8.4188745242e+03  5.6659476225e+00  2  1.6800000000e+01  1.8642151333e-14
-5.6829548551e+00  8.4632957457e+03 -4.8052276616e+00  0  8.7600000000e+00  1.8740514497e-14
 2.1366217143e+01  8.4958751713e+03  7.4948832604e+00  0  8.7600000000e+00  1.8812656038e-14
 6.5532174167e+01  8.6025225529e+03 -1.8270043089e+01  1  1.2100000000e+01  1.9048808344e-14
-2.5157497744e+01  8.7359029849e+03 -1.1960425209e+01  0  8.7600000000e+00  1.9344156397e-14
-4.7746922554e+00  9.0228433244e+03  8.7305216191e+00  3  3.2200000000e+01  1.9979536484e-14
 5.4090482071e+00  9.0341028901e+03  1.0137494040e+01  2  1.6800000000e+01  2.0004468858e-14
-2.4272307564e+00  9.0797207307e+03 -3.7436356056e+00  0  8.7600000000e+00  2.0105481729e-14
-4.0619262218e+00  9.2672150353e+03  1.7610464363e+00  1  1.2100000000e+01  2.0520655657e-14
-5.2148806350e+01  9.2883290408e+03  9.4268296167e+01  1  1.2100000000e+01  2.0567408994e-14
-2.0318739356e+01  9.5595642736e+03 -5.3556116469e+01  2  1.6800000000e+01  2.1168012821e-14
 1.6646985829e+00  9.5749960150e+03 -2.5912505431e+00  3  3.2200000000e+01  2.1202183762e-14
-6.4245677113e+01  9.8180764301e+03 -1.4880010312e+01  0  8.7600000000e+00  2.1740443581e-14
-5.7015675109e+00  9.9685679747e+03 -1.1609690671e+00  0  8.7600000000e+00  2.2073681254e-14
 2.5759066816e-03  1.0074670308e+04  3.2635981675e-03  4  4.0000000000e+01  2.2308626643e-14
 4.0015641066e+00  1.0152666497e+04 -3.6173886338e+00  0  8.7600000000e+00  2.2481335803e-14
-4.5912917790e+00  1.0195346540e+04 -1.3062233175e+00  1  1.2100000000e+01  2.2575843428e-14
-8.3907329133e+00  1.0360341053e+04 -4.8318617454e+00  3  3.2200000000e+01  2.2941195432e-14
 1.0553572798e+01  1.0443796075e+04  2.8048134231e+01  0  8.7600000000e+00  2.3125992241e-14
-5.5789565542e+01  1.0559586334e+04 -1.2974236223e+01  1  1.2100000000e+01  2.3382389877e-14
-5.5539764620e+00  1.0840499686e+04  1.1160029604e+01  0  8.7600000000e+00  2.4004424238e-14
-4.3131821583e+00  1.0848924003e+04 -1.5685822330e+01  3  3.2200000000e+01  2.4023078439e-14
 1.2944005040e-03  1.0908466864e+04  4.9892706610e-03  1  1.2100000000e+01  2.4154925877e-14
 8.7356926517e+00  1.0969078444e+04 -6.3242295785e+01  2  1.6800000000e+01  2.4289139808e-14
 1.0911305853e+01  1.1286054814e+04  1.4867227218e+01  0  8.7600000000e+00  2.4991029525e-14
-1.8856931524e+00  1.1300275915e+04 -4.6130201194e+00  1  1.2100000000e+01  2.5022519709e-14
 5.7048202443e+01  1.1342348036e+04  8.3062606205e+01  0  8.7600000000e+00  2.5115681194e-14
 1.0424327657e+00  1.1400550954e+04  5.3273291107e+00  0  8.7600000000e+00  2.5244561556e-14
 2.6714493798e+00  1.1577898832e+04  8.8307314659e-01  2  1.6800000000e+01  2.5637267967e-14
 4.6719997840e-03  1.1689099285e+04  2.3003702552e-03  0  8.7600000000e+00  2.5883502266e-14
-3.1551303241e-01  1.1720342631e+04 -8.4242346674e-01  1  1.2100000000e+01  2.5952685289e-14
 3.0744696852e-01  1.1800006415e+04  4.6629745941e+00  0  8.7600000000e+00  2.6129087052e-14
 6.1592635431e+00  1.1878891594e+04  1.0052265302e+00  1  1.2100000000e+01  2.6303764728e-14
 2.3228784638e-03  1.2203349815e+04  6.1834125110e-04  1  1.2100000000e+01  2.7022221721e-14
 2.4614072160e-03  1.2253736834e+04 -1.1289204360e-03  3  3.2200000000e+01  2.7133795118e-14
 1.0139176861e+00  1.2310219662e+04 -9.2628908542e-01  1  1.2100000000e+01  2.7258866637e-14
 1.2893567873e+01  1.2337586101e+04  2.9646184734e-01  0  8.7600000000e+00  2.7319464915e-14
-3.8088174212e+01  1.2547571442e+04 -6.4183741214e+00  1  1.2100000000e+01  2.7784441377e-14
-2.2003133473e+00  1.2658077608e+04 -2.8541178085e+00  2  1.6800000000e+01  2.8029138299e-14
 1.8799618458e+01  1.2744150169e+04 -3.8252280961e+00  1  1.2100000000e+01  2.8219731198e-14
 8.3027339479e-01  1.3086794563e+04 -3.3380610575e+00  2  1.6800000000e+01  2.8978458344e-14
 4.8612284676e+01  1.3138068172e+04 -3.4362733563e+01  1  1.2100000000e+01  2.9091994944e-14
-2.2073976163e+00  1.3151896788e+04 -1.0805796498e+00  0  8.7600000000e+00  2.9122616038e-14
 6.8186276328e-01  1.3206482521e+04  1.6815877690e-01  1  1.2100000000e+01  2.9243486767e-14
-3.7657672720e-03  1.3382376279e+04 -1.2505402864e-03  2  1.6800000000e+01  2.9632973277e-14
-2.4232765263e+00  1.3384136765e+04  2.6238150830e-01  2  1.6800000000e+01  2.9636871570e-14
 5.1795329528e+01  1.3525548538e+04  2.5919491408e+01  0  8.7600000000e+00  2.9950003649e-14
-4.8425229222e+01  1.3647283865e+04  6.1753113175e+01  0  8.7600000000e+00  3.0219565616e-14
 2.3386367934e+01  1.3888917958e+04  6.0389809459e+00  0  8.7600000000e+00  3.0754622804e-14
 2.2179992297e+00  1.4356158311e+04  2.8933058059e+00  0  8.7600000000e+00  3.1789246298e-14
 2.2539795645e+00  1.4385932359e+04 -1.3755887619e+00  2  1.6800000000e+01  3.1855175811e-14
-2.3905617078e-01  1.4504940168e+04 -2.7864879212e+00  0  8.7600000000e+00  3.2118698161e-14
 2.1694061519e-03  1.4629532194e+04  1.2091957155e-03  2  1.6800000000e+01  3.2394585797e-14
 2.9523899490e-03  1.4947969978e+04  8.1787249344e-04  2  1.6800000000e+01  3.3099711566e-14
-5.9623849161e+01  1.5000561265e+04 -2.0864787082e+01  0  8.7600000000e+00  3.3216165936e-14
