 x                 y                 z               Event            Energy              Time
-1.0313504275e+01  2.7670800829e+03  1.3022228625e+00  2  1.6800000000e+01  1.0548191215e-15
 1.5271917209e+01  2.0996840915e+04 -5.7347868697e+01  2  1.6800000000e+01  8.0040579326e-15
 7.2711857757e+00  2.6628068793e+04 -2.8680246692e+00  2  1.6800000000e+01  1.0150698675e-14
-1.6766312330e-03  3.1504381741e+04  8.5886631899e-04  1  1.2100000000e+01  1.2009563610e-14
 4.9662233423e-03  3.2908108096e+04 -2.6842854860e-03  2  1.6800000000e+01  1.2544668253e-14
 5.1747112478e+00  4.7316406778e+04  3.1421799498e-01  0  8.7600000000e+00  1.8037154377e-14
-9.7713146363e+00  5.5611902025e+04  5.7031940054e+00  0  8.7600000000e+00  2.1199421730e-14
-7.7359889533e+02  5.7448559517e+04 -5.7257771066e+02  1  1.2100000000e+01  2.1899561004e-14
 4.5899994097e+01  6.4172830650e+04 -2.7255989707e+01  2  1.6800000000e+01  2.4462873072e-14
-1.2331471316e+02  6.4275577600e+04  9.4284626002e+01  0  8.7600000000e+00  2.4502040514e-14
 1.2939305661e-02  6.4399855839e+04  1.2698883035e+00  0  8.7600000000e+00  2.4549415746e-14
 5.8276650446e+01  6.4917487735e+04  3.8337058079e+01  0  8.7600000000e+00  2.4746738558e-14
-4.7861626976e-03  6.5150085693e+04 -1.0364587400e-03  3  3.2200000000e+01  2.4835405588e-14
-1.7505601453e+02  6.9161838556e+04  4.7777284929e+01  2  1.6800000000e+01  2.6364697659e-14
-1.5494331472e+01  8.1380871081e+04 -1.2650253521e+01  0  8.7600000000e+00  3.1022629041e-14
 2.3795635218e-04  8.3062108943e+04 -6.6758896022e-04  0  8.7600000000e+00  3.1663521892e-14
-1.6436686997e+02  8.5626916260e+04  6.4826898958e+01  2  1.6800000000e+01  3.2641234036e-14
 1.2902637990e+02  9.0322072819e+04 -7.6885000339e+01  2  1.6800000000e+01  3.4431041620e-14
-2.3217949394e+00  9.0737897410e+04  1.0401821956e+01  0  8.7600000000e+00  3.4589555185e-14
 1.1264153270e+00  9.2121620232e+04  6.9007254790e+00  1  1.2100000000e+01  3.5117034423e-14
 1.0250845770e-01  9.5420977367e+04 -3.5024332140e-01  0  8.7600000000e+00  3.6374759132e-14
 8.6584680638e+01  9.6545020256e+04  5.6229890101e+01  1  1.2100000000e+01  3.6803247610e-14
-8.4241324368e+00  9.7206437321e+04  2.5910797695e+00  2  1.6800000000e+01  3.7055381754e-14
 9.5892292478e-01  9.9856161928e+04  1.7176031191e+01  1  1.2100000000e+01  3.8065464620e-14
 3.3649847666e+00  1.0939124673e+05  2.5455192356e+00  2  1.6800000000e+01  4.1700267181e-14
