 x                 y                 z               Event            Energy              Time
 2.6162086983e+00  1.9255500684e+02  7.6963058935e-01 12  6.7424291288e-01  3.5999154009e-16
-1.6292986030e+01  8.5719614267e+02 -9.2444481427e+00  7  8.7600000000e+00  1.6025725045e-15
 2.3322433005e+01  1.2996908246e+03 -3.4707789203e+01 12  1.4403177641e+00  2.4298391887e-15
-3.5420859704e+00  1.6803087067e+03  9.6258781762e+00  7  1.2100000000e+01  3.1414239967e-15
 9.3315948775e+01  3.3729430423e+03  9.4731563101e+01  7  8.7600000000e+00  6.3058913937e-15
 2.0113310905e+01  4.3926738768e+03  3.7230202043e+01 12  2.2054699440e+00  8.2123309076e-15
-3.5856973102e-01  4.5805875238e+03  1.8487134248e+00  7  1.6800000000e+01  8.5636451854e-15
-1.5632787685e+01  4.6445533285e+03 -2.7537321777e+00  9  1.4868263427e+01  8.6832325643e-15
-2.8026486914e+00  5.2026809983e+03  9.5829437080e+00 12  1.2446200790e+00  9.7266810974e-15
-2.0467733479e+01  5.6539633882e+03 -2.3353794230e+00  7  1.2100000000e+01  1.0570376856e-14
-3.1775141067e-01  5.6620619994e+03 -1.0978077939e+00  1  8.5791903794e+00  1.0585517628e-14
-7.0428054161e+00  6.1689615145e+03 -4.8604840915e+00  7  1.6800000000e+01  1.1533192478e-14
 2.6783305874e+00  6.8470126806e+03 -9.7964005380e+00  7  1.6800000000e+01  1.2800844187e-14
 7.8442003580e+00  6.9241358449e+03  4.0604572274e+00 12  1.0136004797e+00  1.2945029930e-14
 2.2539976148e+00  8.1828340900e+03  5.9592568604e+00  7  1.6800000000e+01  1.5298231372e-14
 2.2539976148e+00  8.1828340900e+03  5.9592568604e+00 12  1.7247139576e+00  1.5298231372e-14
-3.4698056789e+00  9.4645114792e+03 -4.8283936171e+00 12  1.5784881475e+00  1.7694393512e-14
 1.0206881271e+00  1.0078796584e+04  3.7137415165e+00 12  6.8448284225e-01  1.8842831272e-14
-4.5862456203e+00  1.0719033637e+04 -2.2472860757e+01 12  1.6338121007e+00  2.0039787544e-14
-1.8611175470e+00  1.2302142658e+04  1.8187124853e+00 12  1.5710195183e-01  2.2999491702e-14
-1.6625151719e+02  1.2839453816e+04  3.6514646903e+01  1  8.2594007864e+00  2.4004022690e-14
-1.1445010194e+01  1.3104328943e+04  1.4691948555e+01 12  1.4479216641e+00  2.4499220433e-14
 9.2181372926e+00  1.3529823918e+04  2.4916415120e+00 12  4.1777031840e-01  2.5294705287e-14
 2.0874262367e+01  1.3529853361e+04 -4.8635632323e+01  7  1.6800000000e+01  2.5294760332e-14
-8.3647495448e+00  1.4373495704e+04  5.1377327298e+00 12  3.0937043156e-01  2.6871993308e-14
 3.3143954445e+00  1.4850128619e+04 -1.4430347294e+00 12  7.0431708057e-01  2.7763083183e-14
-8.1235695464e-01  1.5073505312e+04  3.1212436184e+00 12  2.7094677215e-01  2.8180697458e-14
 1.2507377442e-02  1.5100760633e+04 -1.0996959367e+00 12  1.6512948548e+00  2.8231652690e-14
-4.1494917618e+00  1.6677638565e+04 -1.5655157390e+00 12  2.3204975153e+00  3.1179707507e-14
 1.6818830477e+01  1.6734582861e+04  4.2395600966e+01 12  5.4168082183e-01  3.1286167812e-14
 9.3676080265e+01  1.7186658634e+04  5.2749137684e+01 12  1.7867332384e+00  3.2131346841e-14
-1.2940701713e+00  1.7414155543e+04 -4.5010802877e+00 12  1.2442193186e+00  3.2556664075e-14
-1.5562430305e+00  1.8113768352e+04 -1.7877266398e+00  7  8.7600000000e+00  3.3864626389e-14
 1.3866670553e+00  1.8250701975e+04 -5.4102491429e-01 12  4.2601370912e-01  3.4120630877e-14
-5.8133338892e+00  1.8462631080e+04 -5.5679606383e+00  7  1.2100000000e+01  3.4516843294e-14
 9.8329806422e-01  1.9257368720e+04  2.5710512286e+00 12  5.0800585644e-01  3.6002646400e-14
 8.0546474604e+01  1.9475961654e+04 -4.3176981424e+01 12  1.7586421919e-01  3.6411317191e-14
-4.4588272729e+00  1.9530678564e+04  4.5187071473e+00 12  6.9833998734e-01  3.6513613283e-14
-1.5778858951e+01  2.1002624316e+04  9.9942222296e+00  7  8.7600000000e+00  3.9265491964e-14
-4.9219266881e+00  2.2351783488e+04 -3.2340681696e+01  0  8.5527259184e+00  4.1787814785e-14
 1.0325444962e+00  2.3697176013e+04 -1.3986770124e+00  7  1.6800000000e+01  4.4303095666e-14
-1.9656115611e+00  2.4077788228e+04  1.1957061091e+00 12  7.9069422552e-01  4.5014669879e-14
 7.7117610501e+00  2.4087907040e+04  2.2404346577e+01  7  1.2100000000e+01  4.5033587522e-14
-5.6355453987e+01  2.4282647997e+04 -3.5435813745e+01  7  1.6800000000e+01  4.5397665809e-14
-1.3657561280e+01  2.4353277636e+04  5.4964769462e+00 12  3.5618156905e-01  4.5529711569e-14
-6.1799744913e-01  2.4571262760e+04 -1.8686278467e-01 12  1.4808105425e+00  4.5937246028e-14
-3.7047009837e+01  2.4806219560e+04  2.7058210689e+01 12  5.1369302186e-01  4.6376509913e-14
 1.4397196101e+00  2.5581662047e+04 -7.9814211959e-01 12  3.3582815001e-01  4.7826239732e-14
-1.5547344927e+01  2.5710190575e+04  9.4018796377e+00  7  8.7600000000e+00  4.8066530459e-14
-9.6717473893e+01  2.5824416518e+04 -7.8954925036e+01 12  1.2501040982e+00  4.8280081764e-14
-1.3864932141e+01  2.5955042306e+04 -1.4205206974e+01 12  1.0080055564e+00  4.8524293429e-14
-3.3269846736e+00  2.6232580777e+04  4.9401267894e+00 12  4.4441365397e-01  4.9043165948e-14
 1.1886191070e+01  2.6853541803e+04  2.7543342591e+00  7  1.6800000000e+01  5.0204084690e-14
-3.9617863750e+00  2.7466280942e+04 -7.2286850668e+00  7  1.2100000000e+01  5.1349632188e-14
-1.5915391567e+02  2.8046668286e+04 -8.3172060620e-01 12  3.4490152024e-01  5.2434696333e-14
-8.3535699255e+00  2.8944638743e+04  4.8512895893e+00  7  1.6800000000e+01  5.4113498526e-14
 4.8760055114e+00  2.8980670966e+04 -1.2996217957e+01  7  1.2100000000e+01  5.4180862630e-14
 7.0680439010e+00  2.9206630218e+04  3.7007077764e+00 12  3.9646927359e-01  5.4603305133e-14
-2.0459522569e-01  3.0757024525e+04  3.7510417414e-01 12  1.0592166996e+00  5.7501847443e-14
 7.5080550774e+00  3.1181683451e+04  6.6090391680e+01  7  8.7600000000e+00  5.8295769259e-14
 1.1025552007e+01  3.1211041933e+04 -6.3968062024e+00 12  1.0002519880e+00  5.8350656458e-14
 3.1797461525e+01  3.1406728941e+04  2.9135389854e+00  4  9.8813468011e+00  5.8716503436e-14
 2.0521821721e+00  3.1428062571e+04  2.4747165487e-01 12  2.9265297678e+00  5.8756387761e-14
-1.1613697095e+01  3.2138603918e+04 -8.7998412475e+00  7  1.6800000000e+01  6.0084781544e-14
 2.4818231419e+02  3.2384873846e+04 -1.8894459837e+02  1  8.1074036380e+00  6.0545195905e-14
-2.7926547250e+01  3.2467248603e+04 -9.6075297182e+00 12  4.0756253281e-01  6.0699199773e-14
 8.9126105260e+01  3.2954876568e+04  2.7569420101e+00 12  2.0846218763e+00  6.1610845464e-14
 1.4999565992e+00  3.3708480474e+04 -1.7293870551e+00 12  5.8308983025e-01  6.3019746926e-14
-7.0127392166e-01  3.3780858774e+04  2.5464059684e+00 12  8.6771147733e-01  6.3155061899e-14
-1.2870952409e+00  3.4026773465e+04 -4.6526537088e+00 12  2.4453761114e-01  6.3614812127e-14
-4.5390949500e-01  3.4382656819e+04  8.7246821443e+00  7  1.6800000000e+01  6.4280154457e-14
-1.0072543694e+02  3.4394250985e+04 -1.4714933760e+01 12  2.7304589311e+00  6.4301830349e-14
 4.4352154445e+01  3.4528632359e+04 -1.1306299238e+00  7  8.7600000000e+00  6.4553063274e-14
 4.4522430276e-01  3.4642709188e+04 -3.4002033530e-01  7  8.7600000000e+00  6.4766335805e-14
 5.6553927967e+00  3.5218053282e+04 -2.4304540195e+00  7  8.7600000000e+00  6.5841971332e-14
 3.7397428756e+01  3.5324835888e+04 -9.8781563219e+00 12  8.5352203171e-01  6.6041606935e-14
 1.5090921508e-01  3.6117590543e+04 -2.7766241978e+00  7  8.7600000000e+00  6.7523702746e-14
-6.0441812099e+01  3.7147634299e+04  1.8629715405e+01 12  1.8164363678e+00  6.9449422801e-14
-1.5656367607e+00  3.7278010900e+04 -1.6938452535e+00  7  8.7600000000e+00  6.9693168596e-14
-1.5656367607e+00  3.7278010900e+04 -1.6938452535e+00 12  5.3310926470e-01  6.9693168596e-14
-7.3487355492e+00  3.8570343744e+04  2.6831821777e+01 12  1.7378638784e+00  7.2109251660e-14
-6.9633826741e+00  3.9276634623e+04 -9.0253930163e+00 12  1.2866942716e+00  7.3429698973e-14
-8.5895473949e+01  3.9629067773e+04  2.8352322235e+01  7  8.7600000000e+00  7.4088590967e-14
-6.6002658288e+01  4.0251383874e+04  3.7923224931e+01 12  8.6094739549e-01  7.5252043089e-14
 1.1100383344e+01  4.1027728682e+04 -4.2380196837e+00  7  1.2100000000e+01  7.6703459845e-14
