 x                 y                 z               Event            Energy              Time
 8.1677157643e-01  1.9671641468e+02  1.3646212466e+01 11  1.0000000000e-02  1.1145799699e-15
 7.1109190167e+00  2.0016104200e+02  1.9115508959e+01 11  1.6282894816e-01  1.5961317039e-15
 1.1525230340e+01  2.0284421870e+02  2.2995343340e+01 11  1.6152229606e-01  1.9320448705e-15
 4.4811479816e+00  2.2410229950e+02  1.7983945785e+01 11  5.5930129767e-01  3.9660715294e-15
 1.7195929975e+01  2.3624762474e+02  1.8283297744e+01 12  9.7950663510e+00  5.7667504616e-15
-1.7152440387e+01  1.7242307726e+03  2.6381598909e+01 11  1.1123848465e-01  3.2494398803e-15
-1.2920174023e+01  1.7226471963e+03  2.6255351754e+01 11  1.1889965663e-01  4.0542928617e-15
-2.2705162803e+01  1.7174338217e+03 -2.2076476404e+01 11  4.9526060815e-01  8.9258139706e-15
-1.8302247374e+01  1.7202638551e+03 -1.7455128432e+01 11  5.0570270996e-01  9.3758694270e-15
-7.9100128062e+00  1.7503107890e+03 -1.7774143338e+01 11  1.1450696144e-01  1.2012792999e-14
-1.0799917421e+01  1.7521663237e+03 -2.2354166945e+01 11  1.1486656353e-01  1.2493874906e-14
 4.1125937059e+00  1.7492272971e+03 -4.4729818348e+01 11  1.3585615524e-01  1.4914847882e-14
 6.4899737833e+00  1.7359117930e+03 -4.4965267104e+01 11  4.9958638253e-01  1.8572051853e-14
-3.5404886845e+00  1.7359100812e+03 -4.9681722142e+01 11  1.7066495777e-01  2.1655633794e-14
-4.2154691029e+00  1.7371455487e+03 -4.9728701473e+01 12  7.3022180777e+00  2.1745028834e-14
-8.8294266401e+00  1.7244760059e+03  4.0573083593e+00 11  1.5834108684e-01  3.1314571039e-15
-2.1625852177e+01  1.7305174823e+03 -6.5182494116e-01 11  1.3136234622e-01  4.5231172363e-15
-2.3958067445e+01  1.7288378598e+03  4.8650851036e+00 11  7.4744673653e-02  7.0148818322e-15
-2.6292669617e+01  1.7294196128e+03  5.8821033568e+00 11  5.6190063991e-02  7.1295269033e-15
-3.6959334881e+01  1.7364167087e+03 -1.2476314411e+00  0  8.7600000000e+00  8.2019794443e-15
-4.0454131217e+01  1.7908413536e+03  2.2396778822e+01  2  1.6800000000e+01  3.2020520843e-15
-1.3143386355e+01  1.7907015263e+03  2.6371093891e+01  3  3.2200000000e+01  3.3381114359e-15
-6.8982704208e+00  1.7917932397e+03  3.5452924230e+01  2  1.6800000000e+01  3.4717507345e-15
-1.0192036543e+00  1.7993984125e+03  4.7944989757e+01  1  1.2100000000e+01  3.6966434800e-15
 2.7076226804e-01  1.8031325006e+03  4.6739824219e+01 11  1.0000000000e-02  3.7312847943e-15
 2.2698836248e+00  1.8083523547e+03  4.9091388489e+01  0  8.7600000000e+00  3.8110631077e-15
-3.0744996087e+00  1.8115566906e+03  7.1768401364e+01  1  1.2100000000e+01  4.3255837244e-15
-1.2029015496e+00  1.8146928665e+03  7.3516569794e+01  0  8.7600000000e+00  4.3529974110e-15
 4.0339780571e-01  1.8144427856e+03  8.6788993032e+01 11  9.9806057570e-02  5.7027418984e-15
