 x                 y                 z               Event            Energy              Time
-1.2104689605e+01  9.3859734916e+02 -9.6136765686e+00  3  8.7600000000e+00  1.3330246529e-15
-1.2104689605e+01  9.3859734916e+02 -9.6136765686e+00 12  7.0663189516e-01  1.3330246529e-15
-3.4486304264e+00  1.2576370715e+03  4.9321184517e-02  7  1.2100000000e+01  1.7861346212e-15
-2.2432200597e-01  1.4645406622e+03  9.7363732138e-02 12  1.0431662591e+00  2.0799854268e-15
-3.8928106198e+00  2.9280161445e+03 -5.8340988197e+00  7  8.7600000000e+00  4.1584580526e-15
-2.7183475040e+00  4.8172144667e+03  2.9865878394e+00  7  8.7600000000e+00  6.8415552720e-15
 2.6681130068e+01  6.6566736440e+03 -7.1659972173e+00 12  2.9088277665e-01  9.4540114371e-15
-7.2242510673e+01  6.7868167472e+03  7.5741691716e+01  7  1.2100000000e+01  9.6388446514e-15
-4.0099582868e+00  7.5490845827e+03  8.7235527269e+00 12  1.2441372745e+00  1.0721440738e-14
 5.4229629524e-01  8.4904412181e+03 -9.4027127020e+00  7  1.2100000000e+01  1.2058384213e-14
 3.0635908735e+00  9.6268728271e+03 -8.5945510672e+00 12  3.1171493765e+00  1.3672379131e-14
 1.4941619970e+01  1.1179174373e+04  2.8840086792e+01 12  5.2718382208e-01  1.5877005248e-14
-4.0539561879e+00  1.1319254749e+04  3.4673363192e+01  7  1.2100000000e+01  1.6075951681e-14
 5.0879870798e+00  1.2393238893e+04 -3.3965218123e+00 12  2.0279318704e+00  1.7601256800e-14
 9.9052781390e-01  1.3746565506e+04 -4.3140438284e+00  7  1.6800000000e+01  1.9523292633e-14
-4.2949676657e+00  1.4664831119e+04  1.5231781868e+01 12  1.9917085348e-01  2.0827441532e-14
 7.7027641009e+00  1.5005219858e+04  2.2885829112e+00  3  8.7600000000e+00  2.1310872027e-14
-7.9423691830e-02  1.5534685299e+04  3.2862382403e+00  7  8.7600000000e+00  2.2062835035e-14
 7.6639706502e+00  1.7846342234e+04 -1.0856705501e+01 12  4.2631112749e-01  2.5345920893e-14
-2.6223743789e+00  1.8573205488e+04  6.2622146981e+00  7  1.2100000000e+01  2.6378234311e-14
-8.9911897086e+01  1.9246889320e+04 -1.9841620929e+01  7  1.2100000000e+01  2.7335020686e-14
-2.4450640307e+02  2.1486886963e+04  1.5619310179e+01  7  1.6800000000e+01  3.0516333827e-14
-6.2430609923e+00  2.2033879867e+04 -3.1383770590e+00  2  9.1065459002e+00  3.1293189873e-14
-2.1741802675e+00  2.2972516178e+04  3.5395862668e+00  7  1.6800000000e+01  3.2626269861e-14
 6.2983382854e+00  2.3457441405e+04 -6.1411027102e+00 12  2.3818400593e+00  3.3314975495e-14
 9.0046964735e-01  2.5492645336e+04 -2.8600248603e+00  7  8.7600000000e+00  3.6205434344e-14
 6.5115964413e+00  2.5900429409e+04 -1.9736120230e+01  7  1.2100000000e+01  3.6784581753e-14
-1.6129035098e+00  2.9789460182e+04 -2.2102749129e+01 12  1.4105895587e+00  4.2307902164e-14
-1.5601985350e+00  3.0596346510e+04  6.4453499113e+00  7  8.7600000000e+00  4.3453866797e-14
-9.7769841531e+00  3.1903212051e+04  4.1929525682e+00 12  1.8795566804e+00  4.5309917196e-14
-2.7994803469e+01  3.1967258465e+04  3.5553141187e+01  7  8.7600000000e+00  4.5400877871e-14
 4.5245517736e+00  3.2984371443e+04  1.7769906900e+00 12  2.0160820232e+00  4.6845412820e-14
 2.2107284519e+00  3.3588242299e+04 -1.0385837874e+00  7  1.6800000000e+01  4.7703048673e-14
 6.0422076479e+01  3.7617583952e+04 -2.8980150908e+01 12  3.0960758892e-01  5.3425642887e-14
-5.0145225334e+01  4.0233651524e+04 -1.4818477582e+02  0  7.9700812616e+00  5.7141062039e-14
 2.6831950723e+01  4.0536424531e+04 -4.5540938412e+01  7  1.2100000000e+01  5.7571069521e-14
 9.5495739118e+01  4.0849957102e+04 -9.3686188935e+01 12  3.3867616741e-01  5.8016358065e-14
-1.3228551814e+01  4.0929112697e+04 -2.9864664259e+01 12  1.2936248158e+00  5.8128777260e-14
 2.0200582294e+00  4.0995060274e+04  1.0764068961e+00  7  8.7600000000e+00  5.8222438026e-14
-3.7975235602e+00  4.1573231357e+04  1.4525487912e+01 12  2.7952580107e-01  5.9043574276e-14
-1.8329972221e+00  4.1587836335e+04 -9.7137637533e+00 12  3.4135101539e-02  5.9064316712e-14
-3.7332973356e+01  4.2125763252e+04 -4.1669965819e+01  7  1.6800000000e+01  5.9828296967e-14
 1.3904727956e+02  4.2252562278e+04  1.1945915230e+02 12  1.3721186936e+00  6.0008380819e-14
 6.0115066520e+00  4.2399916575e+04  2.6397579157e+00 12  5.8451361732e-01  6.0217657898e-14
-2.5764690651e+00  4.2439119655e+04  5.9468034037e+00  7  8.7600000000e+00  6.0273335310e-14
-1.9479070677e+00  4.5925759267e+04  3.1875806831e+00  7  1.2100000000e+01  6.5225167491e-14
 6.1195830654e-01  4.6097858005e+04  3.0780330155e+00 12  1.4645210189e-01  6.5469587381e-14
 2.9720037986e+00  4.6272703641e+04 -2.8545896156e+00 12  8.5826395299e-01  6.5717908499e-14
 4.0413789719e+01  4.6954341874e+04  4.5328950932e+01 12  2.3307317305e+00  6.6685991959e-14
-1.6705322045e+01  4.7000796896e+04 -1.6317409020e+02 12  1.8333029222e+00  6.6751968802e-14
-4.3660597030e+00  4.7376721024e+04 -1.2190929683e+01 12  4.5265582551e-01  6.7285867742e-14
 1.6299358169e+00  4.7701860926e+04  2.3390044433e+00 12  1.5032941463e+00  6.7747641372e-14
-4.3203922887e+00  4.8454108915e+04 -2.8344106939e-01  7  1.6800000000e+01  6.8816006966e-14
-9.5524386182e+00  4.9395678491e+04  8.2354999934e+01  7  1.2100000000e+01  7.0153252866e-14
-5.0464985479e-01  5.1150489780e+04  7.0647175323e+00  7  8.7600000000e+00  7.2645489512e-14
-1.1778041470e+00  5.1178326938e+04 -5.6404753126e+00 12  1.8884147836e+00  7.2685024696e-14
