 x                 y                 z               Event            Energy              Time
-6.2549426213e-01  1.1687167880e+02  1.9456191811e+01  3  3.2200000000e+01  5.7471987282e-16
 7.3900334999e+00  1.1119960879e+02  3.1570152456e+01  0  8.7600000000e+00  8.9192320077e-16
 1.2082852134e+01  1.0603437584e+02  3.7288510371e+01 11  8.1130735183e-02  1.1536107137e-15
 9.9109169948e+00  1.0686019158e+02  3.7954616647e+01  2  1.6800000000e+01  1.1789030546e-15
 1.2053952297e+01  1.1425930963e+02  3.3609091961e+01 11  1.1086618725e-01  1.4092384681e-15
 2.1324211047e+01  1.2048453842e+02  3.8538365508e+01  2  1.6800000000e+01  2.0062859111e-15
 2.9840145930e+01  1.4098189257e+02  8.4020592474e+01 11  1.7115643855e-01  5.0007785768e-15
 1.8917413756e+01  1.4831837001e+02  9.0309884100e+01  0  8.7600000000e+00  7.9931943761e-15
-2.0726547134e+00  1.0022773136e+02  1.9005029218e+01 11  1.5327559841e-01  1.8998901251e-15
-6.5350228804e-02  1.0530077525e+02  1.2263174167e+01  0  8.7600000000e+00  2.1634960614e-15
 4.4199124244e-01  3.0265610689e+03 -6.9419298190e+00  2  1.6800000000e+01  3.6211849224e-15
 8.4162063140e+00  3.0119699612e+03 -4.7370274373e+00  1  1.2100000000e+01  4.1331567137e-15
 5.6226267174e+00  3.0009762720e+03  1.0957651378e+01 11  1.2850882345e-01  7.8745209186e-15
 9.6993436484e+00  3.0053648658e+03  1.4283268921e+00 11  6.3257449585e-02  9.4878312821e-15
 7.5834650416e+00  3.0068258111e+03 -8.2964672322e-01 11  1.2733522825e-01  1.0359766712e-14
 4.5066990851e+00  3.0121608400e+03 -8.8631284929e+00 11  9.9286614583e-02  1.4015724305e-14
 1.1812904775e+01  3.0054567969e+03 -1.4167524146e+01 11  3.4342099398e-02  1.6620416350e-14
 4.3897307020e+01  3.0039445917e+03  4.7569330340e+00 11  1.5454953149e-01  2.0157040558e-14
 2.8394329249e+01  2.9917549497e+03  7.5709448770e+00 11  1.1343089844e-01  2.1550112666e-14
 2.5599704828e+01  2.9889798682e+03  6.3640012182e+00 11  1.6723508603e-01  2.1805338267e-14
 3.1975667090e+01  2.9874390562e+03  3.8391879681e+00 11  1.9118421763e-01  2.2742231302e-14
 3.8713026317e+01  2.9760266992e+03  2.6609774105e-01 11  9.1798550461e-02  2.5775785664e-14
 3.0140853393e+01  2.9801329117e+03 -3.6628784788e+00 11  1.0000000000e-02  2.6790206364e-14
 9.3347979547e+00  2.9924775340e+03 -1.4536027170e+01 11  5.8585389172e-01  2.8725264472e-14
 2.4241728012e+01  3.0055965880e+03 -9.5684412795e+00  0  8.7600000000e+00  6.8126457516e-15
-5.0141108370e+00  3.0281537554e+03 -1.0222227629e+01 11  5.6744934951e-02  3.9567606670e-15
-1.6618280662e+00  3.0260184745e+03 -9.8797733574e+00 11  1.8773979151e-01  5.3272878769e-15
 5.2778142123e+00  3.0184044156e+03  5.3509911384e+00 11  1.4874572744e-01  6.3129368974e-15
-7.8876968644e+00  3.0237604256e+03  2.1098322759e+01 12  1.0478923979e+01  9.9231687690e-15
-1.5181149413e+01  4.1166220665e+03  6.7315767548e+00 11  5.2757502723e-01  7.3000826537e-15
-1.5271160550e+01  4.1156250833e+03  6.3336399976e+00 11  1.6891552980e-01  7.4621887857e-15
-1.9815854946e+01  4.1210193024e+03 -9.1001969732e-02 11  1.0000000000e-02  9.0431266348e-15
-2.8537294987e+01  4.1150353946e+03 -6.9200773971e+00 12  7.0881950196e+00  9.9668557005e-15
-1.5470676769e+01  4.0890154225e+03 -5.9431876957e+00 11  1.1234930478e-01  6.0940305428e-15
-1.1239823382e+01  4.0862794070e+03 -4.3664911797e+00  1  1.2100000000e+01  6.2297631715e-15
 2.3371704004e+00  4.5999624674e+03 -1.2885880926e-01 11  6.0392313473e-01  5.9269711138e-15
-1.2038857212e+01  4.5878006935e+03 -1.5722738111e+00 11  2.2681431709e-01  7.5793714248e-15
-1.6156962283e+01  4.5868690964e+03  2.7028946430e+00 11  2.3172627146e-01  7.9146158947e-15
-3.4528243171e+01  4.5796640569e+03  6.2701298905e+00 11  1.0437016919e-01  1.0280962204e-14
-3.0802436880e+01  4.5781957605e+03  3.0922961217e+01 11  1.6526499143e-01  1.1976674948e-14
-3.2455627382e+01  4.6138307020e+03  5.3590434230e+01 11  4.7817754199e-02  1.6995030149e-14
-3.3067931237e+01  4.6183992074e+03  4.9132082066e+01 11  1.0267964172e-01  1.7451925794e-14
-3.2742846740e+01  4.6187422427e+03  4.9127127584e+01 11  1.6954459835e-01  1.7601776392e-14
-3.4877049220e+01  4.6238302924e+03  4.7624305650e+01 11  1.2639849630e-01  1.7916370724e-14
-1.5591442860e+01  4.6070254901e+03  6.3172745689e+01 11  8.7291859320e-02  2.2940639604e-14
-1.2945920277e+01  4.6092169900e+03  6.0743496065e+01 11  6.1857969454e-02  2.3174783836e-14
-1.2063406586e+01  4.5994603575e+03  6.8680890144e+01 12  9.1179258371e+00  2.4484429543e-14
-1.2582828747e+01  6.8579144163e+03  2.5393525467e-01 11  2.2330477353e-01  8.9969202336e-15
-2.7294684977e+01  6.8693785183e+03 -6.0921522579e+00  0  8.7600000000e+00  1.0054162381e-14
 9.1894563969e-01  7.0806373064e+03  4.3146261252e+00 11  1.9887852431e-01  9.6968773191e-15
 1.5321030560e+00  7.0813679944e+03  3.0805517786e+00 11  2.2566227887e-01  9.7827986696e-15
 9.8655168583e-01  7.0787298791e+03 -3.8887491657e+00 11  4.6715337998e-02  1.1380522769e-14
-1.4654737160e+01  7.0789677576e+03 -1.9956821973e+01 11  1.4998831076e-01  1.3839561919e-14
