 x                 y                 z               Event            Energy              Time
-1.7808370800e+01  5.4799300452e+03  1.2725662702e+01 12  1.3099704421e+00  4.2688030372e-15
-8.4349873382e+00  5.4867620131e+03  4.7027506968e+01  7  8.7600000000e+00  4.2741250623e-15
 3.9929181493e+01  8.9815865563e+03 -7.1373618044e+01  7  1.2100000000e+01  6.9965535425e-15
 5.4546845688e+01  1.0484053207e+04  7.8527310526e+00 12  1.0772850675e+00  8.1669579358e-15
 4.1137243390e+01  1.2995289010e+04 -1.3685458079e+01 12  1.6121016910e+00  1.0123182000e-14
 2.0778301347e+01  1.5127202757e+04  4.4975726968e+01 12  7.2419648801e-01  1.1783918506e-14
-6.2993963811e+00  1.6512684584e+04 -5.0188598434e-01  7  1.2100000000e+01  1.2863193056e-14
 6.5307233118e+00  2.0274486817e+04 -5.0560008559e+00 12  1.4702526915e+00  1.5793594113e-14
-1.7337473627e+01  2.2141137788e+04 -5.9521381009e+01  7  1.2100000000e+01  1.7247693941e-14
 1.0584948091e+02  2.4374242564e+04 -6.5371660264e+02 12  1.9147997057e+00  1.8987257105e-14
 7.7077812607e+01  2.7394551195e+04  2.3880556458e+02 12  2.1974950927e+00  2.1340043099e-14
 8.1636672909e-01  2.8783775256e+04  1.1877461459e+01 12  1.9545406230e+00  2.2422232806e-14
 1.9323182300e+00  3.1391508506e+04  1.5678908620e+00  7  8.7600000000e+00  2.4453627281e-14
 2.1453501526e-01  3.1504873356e+04 -4.3953940575e+00  7  1.6800000000e+01  2.4541937207e-14
 1.3461918494e+02  3.1936104870e+04  3.6216902612e+01  7  1.6800000000e+01  2.4877861641e-14
-5.0514323560e+00  3.3384864246e+04 -1.5868707633e+01  7  8.7600000000e+00  2.6006428680e-14
 1.9060483083e+00  4.1857582320e+04 -1.4771537276e+00 12  8.2328273180e-01  3.2606579475e-14
 2.2008626849e+00  4.3990234319e+04  1.8991913977e+01 12  5.7648972989e-01  3.4267891071e-14
-2.5244062564e+00  4.8055196212e+04 -1.3728364619e+01 12  2.0425333632e+00  3.7434450048e-14
 1.2192982618e+02  5.0559381661e+04 -3.3912106330e+01 12  7.9929645912e-01  3.9385181967e-14
-1.4232612859e+02  5.1677932685e+04 -2.5095914223e+01  7  8.7600000000e+00  4.0256520463e-14
-1.5097420933e+00  5.2966627589e+04 -1.6991565315e+00  7  8.7600000000e+00  4.1260399103e-14
-5.8184039186e+00  6.1545357874e+04  1.0205753125e+01 12  3.2445906372e-01  4.7943132202e-14
-1.8445421027e+02  6.5283217781e+04  6.7051236391e+01  7  1.6800000000e+01  5.0854882461e-14
-2.0972966117e+01  6.5781862444e+04 -1.3883146448e+00  7  1.6800000000e+01  5.1243320969e-14
-5.3461116931e+00  6.6104768814e+04 -3.0475630688e+00 12  9.8685437861e-01  5.1494861350e-14
-1.1238772018e+00  7.2169369322e+04 -1.6226404699e+01 12  8.1357920550e-01  5.6219116013e-14
 5.7357424852e+00  7.6505028264e+04 -4.2526201547e+00 12  2.7535837206e-01  5.9596544905e-14
 2.2091204173e+00  7.7870258136e+04 -3.3949075669e+00 12  3.6297902755e-01  6.0660043413e-14
-7.1743927131e-01  7.8075370666e+04 -1.4847702502e+00 12  8.8298370132e-01  6.0819823735e-14
 3.7907148040e-01  7.9265390342e+04  4.4064999618e+00  7  1.2100000000e+01  6.1746835497e-14
-7.5330382585e+00  8.3733093427e+04  9.0473667266e+01 12  2.9978395018e+00  6.5227125271e-14
-2.3357465660e+01  8.3903681297e+04  4.0735543152e+00 12  8.9010621210e-01  6.5360011278e-14
 4.4947805106e+01  9.2829789696e+04 -1.0313168131e+01 12  2.9548972445e-01  7.2313347968e-14
 4.2431977379e+01  9.4173088849e+04  2.4923914683e+01  7  1.2100000000e+01  7.3359762695e-14
-9.8881539320e+01  9.4362779840e+04  9.7497300383e+01 12  9.7911222739e-01  7.3507529815e-14
 2.8771735951e+01  9.6661267590e+04  8.5288586910e+01 12  4.2877832372e-01  7.5298025570e-14
 3.1939823888e+00  9.7742367128e+04  3.2522681895e-01 12  1.4355187185e+00  7.6140189787e-14
 6.1940361679e+00  9.8535209204e+04 -1.0038479068e+01 12  1.0893511686e+00  7.6757804726e-14
 2.4774353153e+00  9.9057427364e+04 -3.2203651417e+00 12  1.5447354143e+00  7.7164606720e-14
 8.5368814545e+00  1.0158079284e+05 -9.3679097576e-01 12  7.2198847765e-01  7.9130279661e-14
 4.4264035321e+00  1.0196855074e+05  1.9026534593e+00  8  1.1834172258e+01  7.9432338648e-14
 7.2621571253e-01  1.0548436736e+05  8.3189765046e-01  7  1.2100000000e+01  8.2171119716e-14
-6.0523572587e+00  1.0674626039e+05  7.9949949149e-01  7  8.7600000000e+00  8.3154119995e-14
-6.6600135669e+00  1.1205444197e+05 -5.3940931609e+00 12  1.2031107790e+00  8.7289132940e-14
 1.1175807402e+02  1.1313638531e+05  7.6179806176e+01 12  6.9592437095e-01  8.8131954464e-14
-2.6869426893e+01  1.1647579434e+05  9.9424520040e+00  4  8.7452332903e+00  9.0733316039e-14
-1.5663468158e+00  1.1697117067e+05  1.0530684362e+01  7  1.2100000000e+01  9.1119208549e-14
-7.1000017293e+00  1.2301387327e+05  2.2931564545e+00  7  8.7600000000e+00  9.5826404989e-14
-3.4362420678e+00  1.2371867969e+05  1.1709037163e+00 12  8.7242392853e-01  9.6375441162e-14
 1.5794164798e+00  1.2510154366e+05 -1.0713068987e+00  7  8.7600000000e+00  9.7452676425e-14
 4.9480193951e+00  1.2853886398e+05  2.5758406217e+00  7  1.2100000000e+01  1.0013030977e-13
 2.6452174703e-02  1.2858712988e+05  3.3682697494e+00 12  2.1866153279e-01  1.0016790836e-13
-1.1828924645e+02  1.2929496515e+05  2.1962150034e+01 12  4.1374423081e-01  1.0071930397e-13
-4.7319349894e+01  1.3635505668e+05 -1.9534307425e+01 12  1.1483098088e-01  1.0621903479e-13
-3.8553623304e+01  1.4084079436e+05 -7.8128698603e+01  7  1.6800000000e+01  1.0971337330e-13
-8.1959043809e-01  1.4454243108e+05  8.5967466492e-01  7  1.6800000000e+01  1.1259690611e-13
 1.5842716003e+01  1.4476314986e+05  6.7054934185e+00 12  7.2684963948e-01  1.1276884352e-13
-9.0070487996e+00  1.4649447051e+05 -1.7230564675e+00 12  2.4521967887e+00  1.1411752257e-13
 1.2353793393e+01  1.5509312572e+05 -3.1630009613e+01 12  1.1519784253e+00  1.2081577697e-13
-2.3328689178e-01  1.5516621680e+05  2.8410968912e+00 12  1.2529761866e+00  1.2087271408e-13
 1.8617137996e+01  1.5534799337e+05  4.8606087788e+01 12  8.7771556887e-01  1.2101431596e-13
 3.2752548732e+01  1.5767535341e+05 -8.3392379408e+00 12  6.2627544181e-01  1.2282730290e-13
-5.6024785851e+00  1.5872051656e+05 -2.0570125792e+01 12  1.2428358755e+00  1.2364147308e-13
 1.8808166014e+01  1.6054390996e+05  2.8127987311e+01 12  2.1166192934e-01  1.2506187575e-13
 2.0779554514e+01  1.6185610773e+05 -4.6563109677e+00  7  8.7600000000e+00  1.2608406285e-13
-2.3010941390e+00  1.6558580417e+05 -2.1831524952e+00  7  1.2100000000e+01  1.2898945387e-13
 1.3000964092e+01  1.6773730626e+05  5.3544307641e+00  7  1.2100000000e+01  1.3066544947e-13
-2.0035257966e-01  1.6858443461e+05  9.4261603967e-01 12  2.7318289039e+00  1.3132535279e-13
 6.9556427031e+00  1.6884780891e+05  3.6504536156e+01 12  1.2503942197e+00  1.3153051837e-13
-1.0553942391e+00  1.7651335934e+05  2.1516241598e+00  7  8.7600000000e+00  1.3750189478e-13
 2.3986633972e+00  1.7898136360e+05 -1.2424750618e+00 12  2.1644773301e+00  1.3942444196e-13
-1.4442121541e+00  1.7921696566e+05 -1.3654878944e+00 12  1.3288825897e+00  1.3960797328e-13
 1.2970398492e+01  1.8322423585e+05  4.1088059403e+01 12  6.8300696490e-01  1.4272959108e-13
-1.0537392258e+02  1.8356757576e+05 -3.6797463334e+01  7  8.7600000000e+00  1.4299704895e-13
 1.5067644080e+01  1.8496313842e+05  2.0062246845e+01 12  3.4555384571e-01  1.4408417636e-13
 2.2843100438e+00  1.8549577739e+05  1.4784654181e-01 12  2.0238235324e-01  1.4449909604e-13
