 x                 y                 z               Event            Energy              Time
 6.6310848069e+02  6.8643636250e+02  5.3653442105e+02  0  8.7600000000e+00  4.0984234473e-16
 1.5827838055e+01  2.6306225854e+03 -1.2028438651e+01  1  1.2100000000e+01  1.5706343478e-15
 1.8865228244e-03  2.7008884235e+03 -3.2108910234e-03  2  1.6800000000e+01  1.6125871309e-15
 2.3558602078e+02  3.0868884761e+03 -3.5859149015e+02  0  8.7600000000e+00  1.8430515633e-15
 4.3464552007e+00  6.6570065310e+03  7.8833214374e+01  0  8.7600000000e+00  3.9746192286e-15
 6.5990820157e+00  6.7351850040e+03  8.1581649371e+00  0  8.7600000000e+00  4.0212963139e-15
 2.0154692560e+02  7.9251070682e+03  1.8677592974e+01  1  1.2100000000e+01  4.7317488416e-15
 4.5545701122e-03  8.5344575464e+03 -1.3401247591e-03  3  3.2200000000e+01  5.0955664399e-15
 8.3895606546e-02  8.8462477426e+03  1.7064021174e-01  1  1.2100000000e+01  5.2817232813e-15
 1.5821889122e+00  8.9639695430e+03 -3.6455306066e+00  1  1.2100000000e+01  5.3520100279e-15
-7.1403952575e+00  1.2233858864e+04 -1.3710116384e+01  1  1.2100000000e+01  7.3043237155e-15
 4.0235428894e+01  1.3788525501e+04  3.3373285237e+01  1  1.2100000000e+01  8.2325499206e-15
-3.2687184593e+02  1.4959923240e+04 -3.5162146660e+02  2  1.6800000000e+01  8.9319423515e-15
 3.4072482822e+01  1.6907052776e+04  1.4101117542e+01  1  1.2100000000e+01  1.0094491683e-14
-1.3609026167e+01  1.7157410808e+04 -3.0753559463e+01  0  8.7600000000e+00  1.0243969957e-14
 2.5003524049e+01  1.9460294110e+04  5.1336612114e+01  1  1.2100000000e+01  1.1618924933e-14
-2.3792569103e-01  2.1190485975e+04  6.1617731431e-01  1  1.2100000000e+01  1.2651949886e-14
-3.4768253558e-03  2.1213917776e+04  4.9962455034e-03  1  1.2100000000e+01  1.2665940031e-14
-4.2240290664e+01  2.2676990160e+04 -3.1642308313e+01  0  8.7600000000e+00  1.3539479151e-14
-3.0400066005e+01  2.3025970479e+04  9.3573380175e+01  1  1.2100000000e+01  1.3747840654e-14
-1.1731385883e+01  2.5557913255e+04 -1.2076210818e+01  1  1.2100000000e+01  1.5259557429e-14
 4.8005763371e-01  2.5951075106e+04  2.7232567475e+00  0  8.7600000000e+00  1.5494297870e-14
-2.1095849505e+01  2.6377086768e+04  2.7894578484e+01  0  8.7600000000e+00  1.5748651556e-14
 8.5424386592e+01  2.6519034995e+04  1.2271666138e+02  0  8.7600000000e+00  1.5833402885e-14
-3.6346465379e+01  2.8402017690e+04  7.8158250346e+01  0  8.7600000000e+00  1.6957652830e-14
 1.8981760446e-03  2.9052408329e+04  2.6447823307e-03  1  1.2100000000e+01  1.7345973786e-14
