 x                 y                 z               Event            Energy              Time
-7.5595120102e+00  1.3436672162e+03  7.4623877513e+00 11  6.4911268690e-02  1.4170731653e-15
-3.0710027651e-01  1.3331593969e+03  3.2966374831e+00 11  4.2639901755e-02  3.3856629052e-15
-2.9406510175e+00  1.3369515557e+03  8.7751940950e+00 11  1.4311737327e-01  3.8130513536e-15
-2.8453225316e+00  1.3319995641e+03  1.4181564530e+01 11  8.3817186113e-02  4.2074437320e-15
-3.2556266413e+00  1.3313753893e+03  1.5558352579e+01 11  2.0912250896e-01  4.2920593583e-15
-3.6728372852e+00  1.3302991562e+03  1.9390036631e+01 11  1.9744401980e-01  4.5178063273e-15
-4.5073183845e+00  1.3289789343e+03  2.0091852197e+01 11  1.8169927266e-01  4.6122970122e-15
-4.7739877497e+00  1.3280991578e+03  2.0530964504e+01 11  8.9299162931e-02  4.6693021023e-15
 5.5185001596e-01  1.3083102880e+03  1.3014709217e+01 11  6.8843071707e-02  6.7901006135e-15
 3.5238493613e+00  1.3056232099e+03  1.7632151633e+01 11  2.0579329100e-01  7.4096979740e-15
 2.9182872901e+00  1.3068273031e+03  2.0222363970e+01 11  2.5694171207e-01  7.6262261025e-15
-1.2651087799e-01  1.3082947298e+03  1.5633416789e+01 11  8.4793338329e-02  8.2870018567e-15
-2.4990654715e+00  1.3099242642e+03  1.6573206329e+01 11  1.1729757786e-01  8.4626450940e-15
 4.5469269083e+00  1.3278979325e+03 -9.8385391692e-01 11  9.3149183045e-02  1.1477233005e-14
 6.0089744502e+00  1.3358804456e+03 -1.7912981993e+00 11  1.4170185403e-01  1.3448849644e-14
 8.5667417654e+00  1.3367067437e+03 -3.1131579398e+00 11  1.0000000000e-02  1.3626350267e-14
 1.2261983153e+01  1.3363815537e+03 -8.7213890233e+00 11  1.5420322904e-01  1.4147409080e-14
 1.9234633677e+01  1.3177436811e+03 -7.9934504439e+00 11  1.1942852304e-01  1.7062123315e-14
 1.3409591880e+01  1.3133037312e+03 -2.2985203800e-01 11  1.0344487064e-01  1.7705979146e-14
 2.8647001438e+00  1.3042057487e+03  1.0693659153e+01 11  1.3208895935e-01  1.9479517387e-14
-3.1177012723e-01  1.3012187134e+03 -3.2577572626e+00 11  1.6149152508e-01  2.0562135241e-14
 2.5885410959e+00  1.3044418273e+03 -1.1729873110e+01 11  1.7749259950e-01  2.1430000938e-14
 6.0740573291e+00  1.3089977219e+03 -1.7650208808e+01 11  1.7966262599e-01  2.1946645068e-14
 5.6600677382e+00  1.3205188219e+03 -3.2213744186e+01 11  1.2789062017e-01  2.3229573689e-14
 6.6705776169e+00  1.3218317761e+03 -3.3955250548e+01 11  1.3858664766e-01  2.3384384433e-14
-1.2892641472e+00  1.4592999011e+04 -2.0762326515e+00 11  1.3322688073e-01  8.6405985485e-15
 6.2176213928e-02  1.4594527199e+04 -9.7058597111e+00 11  1.3299998279e-01  9.0669258328e-15
 7.3293890087e-01  1.4595396370e+04 -1.1383832367e+01 11  5.4252631846e-01  9.1754542930e-15
 1.6074063236e+00  1.4603838978e+04 -1.2863316047e+01  0  8.7600000000e+00  9.2663723372e-15
-1.6530333875e+01  1.7549949628e+04 -4.5417506783e+00  0  8.7600000000e+00  1.0365995258e-14
-2.2461135327e+01  1.7545533016e+04 -8.0742057460e-01 11  1.1495503815e-01  1.0636837104e-14
-2.4473276977e+01  1.7546323119e+04 -4.3001530267e+00  0  8.7600000000e+00  1.0893453327e-14
-1.8137222529e+01  1.7544875672e+04 -1.7846488615e+01 11  1.9476438381e-01  1.1936644140e-14
-1.7928236769e+01  1.7539690128e+04 -1.1945180578e+01 11  1.6559492680e-01  1.2838666659e-14
-1.8018842413e+01  1.7534430012e+04 -1.8987889762e+01 11  2.0531790656e-01  1.4918347781e-14
-2.1558350389e+01  1.7531176035e+04 -1.9373337968e+01 11  1.8073427000e-01  1.5218017190e-14
-4.1938871432e+01  1.7549622179e+04  1.5047291594e+01 11  1.2656564283e-01  2.0495986546e-14
-4.1660971343e+01  1.7549827034e+04  1.4744471086e+01 11  2.2654235134e-01  2.0525132422e-14
-2.5392648128e+01  1.7557910701e+04 -3.0535744826e+00 11  5.5415931859e-02  2.3399769158e-14
-4.2494059685e+00  2.4461887912e+04 -8.5051661652e+00  3  3.2200000000e+01  1.4183088223e-14
-9.5721142347e+00  2.4451954695e+04 -1.8767632623e+01  1  1.2100000000e+01  1.4489821623e-14
-6.5207251852e+00  2.4451854191e+04 -1.9784429885e+01  1  1.2100000000e+01  1.4498054272e-14
-7.1673493251e+00  2.4445473057e+04 -1.9488804863e+01  0  8.7600000000e+00  1.4649752727e-14
-1.3289099273e+01  2.4454239103e+04 -2.2448070079e+01 11  5.0701322673e-01  1.5176442958e-14
-1.6418047927e+01  2.4458320066e+04 -1.5301431900e+01 11  5.7260856706e-02  1.6901760626e-14
-1.1069863830e+01  2.4451235281e+04 -1.5092893678e+01 11  9.9392631015e-02  1.7588641917e-14
-1.3940370686e+01  2.4451924574e+04 -1.3765845391e+01 11  4.0423285052e-02  1.7772984521e-14
-1.3598244307e+01  2.4452083920e+04 -1.6011068834e+01 11  8.9542089164e-02  1.8190755124e-14
-1.2390536351e+01  2.4468643120e+04 -1.0986791055e+01 11  1.8036185029e-02  2.1257820762e-14
-3.6476023638e+00  2.4463243955e+04  7.5727479962e+00 11  7.6215272687e-02  2.2833729217e-14
-3.4075695351e+00  2.4462672196e+04  8.1895415703e+00 11  7.0309311485e-02  2.2884192413e-14
-2.8281883791e+00  2.4459547655e+04  8.5637373051e+00 11  1.0000000000e-02  2.3391791100e-14
-5.7396867217e+00  2.4475057686e+04  8.5576794962e+00 11  1.2284831009e-01  2.4423968768e-14
-1.5909059676e+01  2.4474363403e+04  9.8285785922e+00 11  1.0000000000e-02  2.5421220364e-14
-1.5719140933e+01  2.4473721458e+04  1.0961696295e+01 11  1.2089730774e-01  2.5498121614e-14
-2.0644401792e+01  2.4482913783e+04  1.3438238397e+01 11  1.9160876360e-01  2.6919703608e-14
-2.0713483956e+01  2.4483136162e+04  1.2945775508e+01 11  1.5014826784e-01  2.6952148179e-14
-1.8956870281e+01  2.4468997023e+04 -3.0892921301e+01 11  1.2469539564e-01  3.0526306351e-14
-3.6395397847e+01  2.4475608057e+04 -3.2706154865e+01 11  2.3688091323e-01  3.3666046953e-14
-3.5517618943e+01  2.4472492319e+04 -3.1615195581e+01 11  5.3029658300e-01  3.3876321274e-14
-3.3807198882e+01  2.4471855877e+04 -3.2404280723e+01 11  6.9032914756e-02  3.4242256730e-14
-3.0152436274e+01  2.4468283042e+04 -1.7393380219e+01 11  1.6422780289e-01  3.6366717585e-14
-6.7140453590e+00  2.4460422651e+04 -7.2364218929e+00  0  8.7600000000e+00  1.4577594080e-14
 1.3667821741e+00  2.4466955157e+04 -9.4101150896e+00  0  8.7600000000e+00  1.4854887535e-14
 7.1098621537e+00  2.4463913336e+04  3.9649874725e+00 11  1.4163721385e-01  1.6106917559e-14
 2.3302866514e+00  2.4450424367e+04  1.2177699698e+00 11  2.1944007903e-01  1.8016684818e-14
 1.7210973551e+00  2.4449866475e+04 -3.8776839971e-01 11  5.2202018567e-02  1.8130562727e-14
 6.0789534010e+00  2.4444039465e+04  2.2576685478e+00 11  1.3903765593e-01  1.9152090517e-14
 3.0600968466e+00  2.4442246070e+04 -3.1586559631e+00 11  1.0105462487e-01  2.2923391141e-14
 1.8909154497e+01  2.4433133759e+04 -6.1269547094e+00 11  1.3118141544e-01  3.2317197337e-14
 6.0072460914e+00  2.5148834824e+04  1.4513827884e-01  1  1.2100000000e+01  1.4536556390e-14
 1.8197189544e+01  2.5148988222e+04 -4.2275158330e+00  0  8.7600000000e+00  1.4905396586e-14
 8.3424149598e+00  2.5138297958e+04 -4.8352815694e+00 11  5.0393135367e-01  1.5791579690e-14
 7.3349589986e+00  2.5143715049e+04 -7.7967664082e+00  0  8.7600000000e+00  1.5816663037e-14
-8.4056865275e+00  3.6670575010e+04 -1.6574601379e+00 11  1.4602396800e-01  2.3014149916e-14
-9.6228362246e+00  3.6672206103e+04  2.4872571295e+00 11  7.8572090484e-02  2.3296057159e-14
-1.4590891152e+01  3.6679733588e+04  8.4376506123e+00 11  1.5329436892e-01  2.4168030238e-14
-1.4391668938e+01  3.6680110462e+04  8.8357398071e+00 11  1.4584672584e-01  2.4202252172e-14
-1.4301337632e+01  3.6680684364e+04  1.0212570669e+01 11  1.6011697232e-01  2.4309285435e-14
-2.3707309178e+01  3.6687464800e+04  2.9144603327e+01 11  1.7048817962e-01  2.6148642638e-14
-2.0942107251e+01  3.6690958795e+04  2.2025129248e+01 11  5.7679450375e-01  2.6878214629e-14
-1.5231698230e+01  3.6689301741e+04  1.8724534697e+01 11  1.6795446952e-01  2.7363833352e-14
-2.7030470250e+01  3.6689842974e+04  2.0021068167e+01 11  6.1544220080e-02  2.9020422327e-14
-3.5494952022e+01  3.6691846397e+04  4.1822058107e+01 11  1.3143481709e-01  3.1727024808e-14
-5.5044422415e+01  3.6714212038e+04  6.9331227526e+01 11  1.4952729835e-01  3.6495587473e-14
 2.0682706787e+00  4.0822373014e+04  5.2197789206e+00  2  1.6800000000e+01  2.3327045285e-14
-1.6997515710e+01  4.0822926046e+04  6.8487699925e+00 11  1.8983569377e-01  2.4156810194e-14
-1.2723337637e+01  4.0821391030e+04  2.3468170775e+00 11  1.3556808511e-01  2.4865112557e-14
-7.7376835114e+00  4.0825717730e+04  9.0555724172e+00 11  7.2865132286e-02  2.5311011203e-14
-7.0622010276e+00  4.0828387683e+04 -1.7131527325e+00 11  9.4539116738e-02  2.6141057037e-14
-8.9088887403e+00  4.0836350601e+04 -5.2474193284e+00 11  2.3555476793e-01  2.6668094582e-14
-3.2059763893e+00  4.0815565292e+04  1.7138757361e+01 11  4.0745091471e-02  2.4164605928e-14
-2.5804222221e+00  4.0820888572e+04  1.6568558761e+01 11  7.7953617605e-02  2.4615948865e-14
-6.1802571432e+00  4.0822359943e+04  4.8655025395e+00 11  1.1609115068e-01  2.5376503692e-14
-7.4803545095e+00  4.0823786537e+04  1.5156519769e+00 11  1.2316720396e-01  2.5554539534e-14
-1.0557007484e+01  4.0827527692e+04 -9.0520746155e-01 11  1.0148313785e-01  2.5809334410e-14
 2.3900344430e-01  4.0825835825e+04  1.1484102659e+01 11  9.7114792428e-02  2.7304696819e-14
-2.7095348183e+01  4.2971804117e+04 -5.9171211278e+00  0  8.7600000000e+00  2.5889779005e-14
-7.1274110867e+00  4.4719164986e+04  2.7473921399e+01  3  3.2200000000e+01  2.6526323454e-14
-1.2962675474e+00  4.4716535464e+04  2.5729940504e+01  0  8.7600000000e+00  2.6639440227e-14
-2.3905795519e+00  4.4715749864e+04  2.9688184243e+01 11  9.5140059863e-02  2.7077209240e-14
-9.6488187462e+00  4.4745848824e+04  3.4062326312e+01 11  1.9567847661e-01  2.9225995664e-14
-7.2151715080e+00  4.4747887508e+04  3.7484080035e+01 11  4.2638209463e-02  2.9521852779e-14
-1.2711904204e+01  4.4753637835e+04  3.5791170246e+01 11  4.9542432664e-02  3.1152659491e-14
-1.3618987505e+01  4.4759792967e+04  4.9539427135e+01 11  5.2117414828e-02  3.2256492490e-14
-1.4968635325e+01  4.4763497040e+04  6.1461325858e+01 11  8.7764794545e-02  3.3013822934e-14
 3.6750261583e+00  4.4765965430e+04  8.5205102818e+01 11  1.3763993125e-01  3.5049326482e-14
 4.6176242179e+00  4.4763680806e+04  8.6570305968e+01 11  2.2744377601e-01  3.5251303497e-14
 6.2119226029e+00  4.4772084563e+04  7.7036302211e+01 11  6.5973556093e-02  3.9875199330e-14
 1.5049892824e+01  4.4766342568e+04  7.5876892730e+01 11  1.0685661598e-01  4.0931832829e-14
 1.7342903790e+01  4.4768612456e+04  7.8541880717e+01 11  5.5309007470e-01  4.1496013690e-14
 8.9957168985e+00  4.4752328091e+04  1.0204746728e+02 11  8.3282034090e-02  4.8819199150e-14
-7.3596242617e+00  4.4731788201e+04  6.1612687365e+00 11  5.2183563084e-01  3.0392223502e-14
 1.0273969960e+00  4.4703396015e+04 -2.1339005257e+00 11  1.9758922603e-01  3.2862862873e-14
 7.0604660247e+00  4.4674049680e+04  6.7185566892e+00 11  1.4276567405e-01  3.5270964995e-14
-1.0149886649e+01  4.4657303500e+04 -2.0752448593e+01 11  1.2400057453e-01  3.8214829637e-14
-1.2093392137e+01  4.4658894080e+04 -2.9710596057e+01 11  1.2409408005e-01  3.8907810527e-14
-7.7726040109e+00  4.4663071991e+04 -1.8725296283e+01 11  1.5761457267e-01  3.9730694300e-14
 1.9753870120e-01  4.6125389191e+04  9.0756954903e-01 11  1.5733351964e-01  2.6357293800e-14
-6.0764032955e-01  4.6121549141e+04  3.7311171360e+00  0  8.7600000000e+00  2.6460376721e-14
-2.1077474590e-01  4.6116716626e+04  6.3239773017e+00 11  1.6753311863e-01  2.7861183301e-14
 5.5511375041e+00  4.6108604838e+04  3.7223786593e+00 11  1.6689522563e-01  2.8786719316e-14
