 x                 y                 z               Event            Energy              Time
 6.3894672461e+01  5.2973964342e+03 -2.9350262317e+01  7  1.6800000000e+01  2.4686071225e-15
 2.9809938849e+02  2.7524429690e+04 -9.8288238584e+02 12  1.1819326184e+00  1.2826490148e-14
-5.2082103839e+00  4.5608675154e+04 -8.6748151781e-01 12  2.8531617401e-01  2.1253818121e-14
 1.4401265136e+00  4.9585068060e+04 -1.8030077669e+00 12  2.1999609754e+00  2.3106832517e-14
 1.4151252125e+01  6.4289721906e+04 -1.4578764488e+01  0  8.4891141685e+00  2.9959257792e-14
 5.5242516983e+00  6.8776256587e+04  8.4586012695e+00  7  8.7600000000e+00  3.2050000217e-14
-7.9694366926e+00  7.5750510921e+04  6.5914926083e+00 12  3.5544733592e+00  3.5300029573e-14
-2.9730084976e+01  9.1265933861e+04 -3.5444398041e+01  7  1.2100000000e+01  4.2530276366e-14
 1.9067577705e+01  9.2674924790e+04 -9.5906647358e+00 12  8.4769760857e-01  4.3186871560e-14
 4.8627268792e+00  9.8488776357e+04 -9.4291923450e-01  7  8.7600000000e+00  4.5896148762e-14
-1.1036945664e+00  1.0348739734e+05 -2.9826851360e+00  7  1.6800000000e+01  4.8225525374e-14
 7.3931987382e+01  1.0793160140e+05 -2.5695697236e+02 12  2.6112727256e-01  5.0296541567e-14
 3.5913931708e+00  1.0805611018e+05 -1.4714843132e+00  7  8.7600000000e+00  5.0354563140e-14
 1.1039985268e+00  1.1175188557e+05 -8.3611794157e-01 12  4.3093105968e+00  5.2076808692e-14
-6.3739277414e+00  1.1497489511e+05  3.1835145472e+00 12  1.0601740424e+00  5.3578743540e-14
-2.2112019051e+00  1.1568652045e+05 -6.1963106725e+00 12  1.2284659232e+00  5.3910363687e-14
-1.0437620120e+00  1.3408204656e+05 -1.4230438104e+01  7  1.2100000000e+01  6.2482749640e-14
-8.4482207632e+00  1.3789048973e+05  8.8159514021e-01 12  2.5931239269e+00  6.4257498811e-14
 6.2273878274e+01  1.4252224043e+05 -1.6363354095e+01  7  1.6800000000e+01  6.6415912458e-14
 2.0411782913e-03  1.5285646850e+05  1.5012463480e+00 12  7.3491972036e-01  7.1231702503e-14
 3.9590228085e+00  1.5771236344e+05  2.2021680059e+01  7  8.7600000000e+00  7.3494568234e-14
 8.5657288615e-01  1.7536462762e+05  1.1551543398e+00 12  2.1678968411e+00  8.1720591263e-14
-9.2281678289e+00  1.7649183641e+05 -9.1024205218e+00 12  1.2054840169e+00  8.2245874897e-14
