 x                 y                 z               Event            Energy              Time
 6.4056736458e+00  6.7120392930e+02 -8.0786067899e-01 11  1.2015197235e-01  8.6077342981e-16
 1.3692158273e+01  6.7467647072e+02 -6.9329117146e+00 11  7.2410752994e-02  1.5787821965e-15
 1.6848567635e+01  6.7809715498e+02  1.6085670332e+00  0  8.7600000000e+00  2.4733805345e-15
 1.3010268229e+01  6.8003542219e+02  8.5585979003e+00 11  1.4582554801e-01  3.0948354955e-15
 4.1852218221e+00  6.8401021902e+02  1.2924900032e+01 11  1.0000000000e-02  3.9082071155e-15
 2.4624651847e+01  6.8614702680e+02  4.5730109570e+01 11  5.3927226183e-01  8.1482481621e-15
 6.1230638799e+00  7.9758147430e+02  9.1130254764e+00  0  8.7600000000e+00  1.0280118093e-15
 6.9758643016e+00  7.9899546309e+02  9.7843286498e+00 11  1.5686362303e-01  1.0350566961e-15
 2.3867142848e+00  8.1309665875e+02  2.7152001593e+01  1  1.2100000000e+01  1.0900022907e-15
-7.7720417384e+00  7.8445529218e+02  3.0387739957e+01  3  3.2200000000e+01  1.8676727312e-15
 1.0832589569e+01  8.0952925751e+02  2.7600561625e+01 11  1.5717271226e-01  5.3712406445e-15
 1.3498230995e+01  8.0745681684e+02  1.6185995058e+01 11  1.5140292050e-01  6.0369404616e-15
 1.3692605760e+01  8.0774283284e+02  1.5370179845e+01 11  8.0197250765e-02  6.0887139733e-15
 1.3881088541e+01  8.0812164579e+02  1.4672354649e+01 11  9.4435131318e-02  6.1344899047e-15
 2.5742903332e+01  8.0961496974e+02 -1.1718387263e+00 11  1.6836977684e-01  8.2277933126e-15
 2.2155334303e+01  8.0962453657e+02  8.6485900295e+00 11  1.0000000000e-02  1.0293417508e-14
 1.8733610595e+01  8.0821302611e+02  1.1224956434e+01 11  1.1890570132e-01  1.0576695618e-14
 1.5145474484e+01  8.0895513782e+02  1.4970810016e+01 11  6.7628127394e-02  1.0891626031e-14
 1.4008234118e+01  8.1254870234e+02  1.5548915521e+01 11  5.0010985438e-02  1.1178464508e-14
 1.4370238032e+01  7.9535444618e+02  1.9648188376e+01 11  5.1635739664e-01  1.3307229113e-14
 9.7830108722e+00  7.9494638378e+02  2.9443378802e+01 11  6.1643055292e-02  1.3953906611e-14
 3.0255185525e+00  7.9554632145e+02  3.1807300293e+01 11  1.4424948257e-01  1.4550748258e-14
 1.2188259479e+01  7.9944804820e+02  3.3366323161e+01 11  1.2498677826e-01  1.6747409136e-14
 1.3358254205e+01  7.9820938235e+02  3.5090188641e+01 11  4.6599033781e-01  1.6900208996e-14
 2.0956214820e+01  7.9578959639e+02  4.2160161565e+01 11  8.9245197789e-02  1.8587614458e-14
 1.9219638123e+01  7.8883298279e+02  4.1087319340e+01 11  7.9057099178e-02  2.0223749989e-14
 1.5561178762e+01  7.9104365278e+02  4.5601049091e+01 11  1.0487455194e-01  2.0825813039e-14
 1.6536201078e+01  8.1926692987e+02  3.5387256066e+01 11  1.6504162974e-01  2.4850659064e-14
-9.9858477790e+00  1.3356810243e+03  5.8271251589e+00 11  6.5856850912e-02  2.9867976918e-15
-1.3804244653e+01  1.3403675142e+03  5.2995245759e+00 11  8.9718228044e-02  3.3170416854e-15
-8.7425115120e+00  1.3505096605e+03 -2.9835266544e+00 11  1.5085980129e-01  4.6600109606e-15
-6.3967418084e+00  1.3509791350e+03 -1.7416730681e+01 11  1.2578307491e-01  6.4769377911e-15
-1.7027284800e+00  1.3619063281e+03 -1.7561842879e+01 11  1.4761607591e-01  7.6576523653e-15
-9.5051719137e+00  1.3605088144e+03 -1.4658642522e+01 11  6.4489845501e-02  8.1302881160e-15
-1.8229474290e+01  1.3522771993e+03 -7.8693386774e+00 11  1.0617384472e-01  9.0709027330e-15
-3.1274612891e+01  1.3562407075e+03 -1.7259931543e+01 11  8.6739829710e-02  1.5080724099e-14
-3.4419901214e+01  1.3551195748e+03 -2.5587576014e+01 11  1.7575944777e-01  1.7586884790e-14
-2.5132193761e+01  1.3527233863e+03 -3.3229182381e+01 11  7.7839844954e-02  1.8398797952e-14
-2.9050679141e+01  1.3450400361e+03 -3.9890687512e+01 11  6.9164032141e-02  1.9671879888e-14
-2.5125859699e+01  1.3506660603e+03 -3.6836022729e+01 11  9.4881333882e-02  2.0502377150e-14
