 x                 y                 z               Event            Energy              Time
-3.8647753997e+02  1.3322435539e+01 -1.0830374324e+02  0  8.7600000000e+00  1.2216821579e-17
-6.9840175597e+00  4.2932567822e+02 -3.7099297080e-01  2  1.6800000000e+01  3.9369642245e-16
-6.3380019702e-01  6.0311383937e+02  2.2811703591e-01  0  8.7600000000e+00  5.5306209932e-16
-2.0639116210e-03  6.9993399290e+02  1.8373854676e-03  2  1.6800000000e+01  6.4184725707e-16
 7.1719306624e-02  1.5431733479e+03  1.8437797307e+00  3  3.2200000000e+01  1.4151071252e-15
 1.6386216413e+01  2.7589167509e+03 -2.7073641962e+01  2  1.6800000000e+01  2.5299573489e-15
-1.5882885443e+00  3.0996334940e+03  4.5613506702e+00  0  8.7600000000e+00  2.8423983922e-15
-1.0084404703e+01  3.1997618253e+03 -4.7440916894e+01  1  1.2100000000e+01  2.9342171857e-15
 3.8901054340e+00  3.9408626174e+03 -5.2885871697e+00  2  1.6800000000e+01  3.6138148555e-15
 3.2453645105e+00  5.9635253514e+03  3.7178112195e+01  1  1.2100000000e+01  5.4686190813e-15
-1.2345214367e+00  7.7267205647e+03  1.7199021329e+01  0  8.7600000000e+00  7.0854887045e-15
 9.3755468537e-04  8.0391904781e+03 -2.5184029888e-03  1  1.2100000000e+01  7.3720270908e-15
 5.3385730560e+01  8.0479332152e+03  2.0485132884e+02  1  1.2100000000e+01  7.3800442780e-15
 2.4702653841e+00  8.7104033646e+03  5.1969635781e+00  2  1.6800000000e+01  7.9875367738e-15
 1.0732013106e+00  9.3010569039e+03  2.2112713857e+00  2  1.6800000000e+01  8.5291726393e-15
-3.8111580028e+00  9.5380007268e+03 -5.1127193210e-01  0  8.7600000000e+00  8.7464527606e-15
 1.7057975579e+00  9.7135803443e+03  1.6566323243e+00  0  8.7600000000e+00  8.9074612228e-15
 1.5926766556e+01  1.0505689861e+04 -2.6893499380e+01  0  8.7600000000e+00  9.6338344604e-15
 8.9974674306e+01  1.0529639899e+04 -4.7302867176e+00  2  1.6800000000e+01  9.6557969122e-15
 3.2009672691e-03  1.1614554256e+04 -1.3431080367e-03  1  1.2100000000e+01  1.0650675445e-14
 7.6087029215e+00  1.2678517816e+04  7.3499781201e+00  0  8.7600000000e+00  1.1626341864e-14
-3.6167730711e-03  1.2962022689e+04  2.8949947832e-03  3  3.2200000000e+01  1.1886318986e-14
-1.2756976998e+01  1.5293749010e+04 -5.4687381137e+01  0  8.7600000000e+00  1.4024537959e-14
 4.6278706349e+01  1.5553148961e+04 -3.8663390954e+00  0  8.7600000000e+00  1.4262410600e-14
-6.3559758666e+00  1.6435293789e+04  3.3581091046e+00  1  1.2100000000e+01  1.5071347219e-14
 1.6012434627e+01  1.6758970739e+04 -4.9977989734e+01  1  1.2100000000e+01  1.5368162583e-14
-1.7721302767e+01  1.8878617013e+04 -2.5191947558e+01  2  1.6800000000e+01  1.7311901794e-14
 1.6782219723e-01  1.9000757051e+04  1.9369760532e-01  1  1.2100000000e+01  1.7423905567e-14
 1.0296021623e+01  1.9426449513e+04  1.5237701503e+01  1  1.2100000000e+01  1.7814270290e-14
 1.3577991258e+00  1.9522800122e+04 -1.8174904707e+00  0  8.7600000000e+00  1.7902624870e-14
-1.2972018604e+01  1.9704073598e+04  2.8203921946e+01  0  8.7600000000e+00  1.8068854664e-14
 1.0415594742e+00  2.0129120241e+04  3.7074988651e+00  1  1.2100000000e+01  1.8458627163e-14
-1.2020556508e+00  2.0365638935e+04 -2.7743671446e+00  2  1.6800000000e+01  1.8675517437e-14
 1.7515029773e+01  2.2080238934e+04 -3.2691491289e+00  1  1.2100000000e+01  2.0247824708e-14
 1.6849763430e+02  2.2085199835e+04  1.6635218445e+02  0  8.7600000000e+00  2.0252373909e-14
-5.9145288303e+01  2.2239114630e+04 -2.3648248124e+01  0  8.7600000000e+00  2.0393515488e-14
-5.5698026256e+01  2.2666156981e+04 -1.9056069121e+00  0  8.7600000000e+00  2.0785118074e-14
-1.7827694887e+01  2.3275763792e+04  6.1975741743e+01  0  8.7600000000e+00  2.1344134301e-14
-3.8226793235e-03  2.3484793173e+04  2.2286094759e-03  3  3.2200000000e+01  2.1535816568e-14
-3.7605388969e-03  2.3542859311e+04 -3.3772401970e-03  4  4.0000000000e+01  2.1589063862e-14
-4.2034170759e-01  2.4715252509e+04 -1.2981979511e-01  0  8.7600000000e+00  2.2664161466e-14
 1.7473724248e+01  2.5304248889e+04  2.9203680305e+00  0  8.7600000000e+00  2.3204277698e-14
-1.2759905990e-03  2.5342074068e+04  4.4260032193e-03  1  1.2100000000e+01  2.3238963808e-14
-1.7510360236e+01  2.5767333344e+04  8.8787495244e+00  1  1.2100000000e+01  2.3628931294e-14
 4.2689443732e+00  2.5829738418e+04 -8.6734650890e+00  1  1.2100000000e+01  2.3686157441e-14
-8.8964194654e+00  2.5945994475e+04 -6.1630456794e-01  0  8.7600000000e+00  2.3792765539e-14
 1.1655618881e+01  2.6009857018e+04 -8.6439240725e+00  0  8.7600000000e+00  2.3851328201e-14
-2.1638933509e-03  2.6989720996e+04  1.4444507176e-03  0  8.7600000000e+00  2.4749874368e-14
-3.1167888539e-03  2.8215640157e+04 -3.8702682633e-03  1  1.2100000000e+01  2.5874055875e-14
-5.6317503516e+00  2.8407578251e+04  2.3528956938e+00  0  8.7600000000e+00  2.6050065242e-14
-2.2881740476e+01  2.8749123383e+04 -2.0311270927e+01  1  1.2100000000e+01  2.6363265928e-14
 4.5469347095e+00  2.8785704591e+04  1.3327650044e+01  2  1.6800000000e+01  2.6396811302e-14
 1.4120934616e+01  2.9016387322e+04  2.1554737294e+01  2  1.6800000000e+01  2.6608349933e-14
